scenario,model,snr_db,ber,n_symbols
k1_doppler_full,conv1d,-5.0,0.11234,100000.0
k1_doppler_full,conv1d,-3.0,0.03691,100000.0
k1_doppler_full,conv1d,-1.0,0.00962,100000.0
k1_doppler_full,conv1d,1.0,0.00302,100000.0
k1_doppler_full,conv1d,3.0,0.00081,200000.0
k1_doppler_full,conv1d,5.0,0.0004266666666666,300000.0
k1_doppler_full,conv1d,7.0,0.000202,500000.0
k1_doppler_full,conv1d,9.0,0.00013,800000.0
k1_doppler_full,conv1d,11.0,8.5e-05,1200000.0
k1_doppler_full,conv1d,13.0,9.272727272727273e-05,1100000.0
k1_doppler_full,conv1d,15.0,9.09090909090909e-05,1100000.0
k1_doppler_full,conv1d,17.0,9.545454545454546e-05,1100000.0
k1_doppler_full,conv1d,19.0,7.142857142857143e-05,1400000.0
k1_doppler_full,conv1d,20.0,8e-05,1300000.0
k1_doppler_full,qkv,-5.0,0.1044,100000.0
k1_doppler_full,qkv,-3.0,0.0374,100000.0
k1_doppler_full,qkv,-1.0,0.01083,100000.0
k1_doppler_full,qkv,1.0,0.00311,100000.0
k1_doppler_full,qkv,3.0,0.000865,200000.0
k1_doppler_full,qkv,5.0,0.0004666666666666,300000.0
k1_doppler_full,qkv,7.0,0.000218,500000.0
k1_doppler_full,qkv,9.0,0.0001471428571428,700000.0
k1_doppler_full,qkv,11.0,0.000101,1000000.0
k1_doppler_full,qkv,13.0,0.000102,1000000.0
k1_doppler_full,qkv,15.0,0.0001188888888888,900000.0
k1_doppler_full,qkv,17.0,0.0001,1000000.0
k1_doppler_full,qkv,19.0,9e-05,1200000.0
k1_doppler_full,qkv,20.0,8.23076923076923e-05,1300000.0
k1_doppler_full,lstm,-5.0,0.08673,100000.0
k1_doppler_full,lstm,-3.0,0.02872,100000.0
k1_doppler_full,lstm,-1.0,0.00782,100000.0
k1_doppler_full,lstm,1.0,0.00227,100000.0
k1_doppler_full,lstm,3.0,0.00068,200000.0
k1_doppler_full,lstm,5.0,0.0004633333333333,300000.0
k1_doppler_full,lstm,7.0,0.00029,400000.0
k1_doppler_full,lstm,9.0,0.000234,500000.0
k1_doppler_full,lstm,11.0,0.0001814285714285,700000.0
k1_doppler_full,lstm,13.0,0.0001866666666666,600000.0
k1_doppler_full,lstm,15.0,0.000195,600000.0
k1_doppler_full,lstm,17.0,0.0001966666666666,600000.0
k1_doppler_full,lstm,19.0,0.00018,600000.0
k1_doppler_full,lstm,20.0,0.0001557142857142,700000.0
k1_doppler_full,mc_dlsk,-5.0,0.08436,100000.0
k1_doppler_full,mc_dlsk,-3.0,0.02749,100000.0
k1_doppler_full,mc_dlsk,-1.0,0.00772,100000.0
k1_doppler_full,mc_dlsk,1.0,0.00212,100000.0
k1_doppler_full,mc_dlsk,3.0,0.000665,200000.0
k1_doppler_full,mc_dlsk,5.0,0.0004133333333333,300000.0
k1_doppler_full,mc_dlsk,7.0,0.000275,400000.0
