scenario,model,snr_db,delay_corr
k1_doppler_full,conv1d,-5.0,0.181464027232716
k1_doppler_full,conv1d,-3.0,0.2535205593237879
k1_doppler_full,conv1d,-1.0,0.347475350153241
k1_doppler_full,conv1d,1.0,0.4394492079180009
k1_doppler_full,conv1d,3.0,0.531019925091104
k1_doppler_full,conv1d,5.0,0.6227509375208126
k1_doppler_full,conv1d,7.0,0.6988364543659522
k1_doppler_full,conv1d,9.0,0.7643105171812586
k1_doppler_full,conv1d,11.0,0.8141909715628691
k1_doppler_full,conv1d,13.0,0.8523789220795323
k1_doppler_full,conv1d,15.0,0.8820598352349727
k1_doppler_full,conv1d,17.0,0.9043072888424816
k1_doppler_full,conv1d,19.0,0.9191446304185816
k1_doppler_full,conv1d,20.0,0.9245267287509068
k1_doppler_full,qkv,-5.0,0.1827585850665382
k1_doppler_full,qkv,-3.0,0.254306942420451
k1_doppler_full,qkv,-1.0,0.3378639756462144
k1_doppler_full,qkv,1.0,0.4286249163338634
k1_doppler_full,qkv,3.0,0.5191670345902484
k1_doppler_full,qkv,5.0,0.6140109450427995
k1_doppler_full,qkv,7.0,0.6937584273638698
k1_doppler_full,qkv,9.0,0.7615104005472532
k1_doppler_full,qkv,11.0,0.815269905987086
k1_doppler_full,qkv,13.0,0.8556527874618257
k1_doppler_full,qkv,15.0,0.8845799107895775
k1_doppler_full,qkv,17.0,0.9033217787600408
k1_doppler_full,qkv,19.0,0.9152285428349748
k1_doppler_full,qkv,20.0,0.9196858973583256
k1_doppler_full,lstm,-5.0,0.1552400675614972
k1_doppler_full,lstm,-3.0,0.2387873369171474
k1_doppler_full,lstm,-1.0,0.3314428405644766
k1_doppler_full,lstm,1.0,0.4226670195416843
k1_doppler_full,lstm,3.0,0.5182934981484222
k1_doppler_full,lstm,5.0,0.6174017732195431
k1_doppler_full,lstm,7.0,0.701501492419562
k1_doppler_full,lstm,9.0,0.7728418939291601
k1_doppler_full,lstm,11.0,0.8287653067510012
k1_doppler_full,lstm,13.0,0.870311019492179
k1_doppler_full,lstm,15.0,0.8987872030714162
k1_doppler_full,lstm,17.0,0.917112340385856
k1_doppler_full,lstm,19.0,0.9289663095032014
k1_doppler_full,lstm,20.0,0.9336013918824272
k1_doppler_full,mc_dlsk,-5.0,0.1762415956358308
k1_doppler_full,mc_dlsk,-3.0,0.2456910015026623
k1_doppler_full,mc_dlsk,-1.0,0.3315260947410667
k1_doppler_full,mc_dlsk,1.0,0.4212110957012882
k1_doppler_full,mc_dlsk,3.0,0.5136239386201582
k1_doppler_full,mc_dlsk,5.0,0.6100080848749688
k1_doppler_full,mc_dlsk,7.0,0.6907994936507431
k1_doppler_full,mc_dlsk,9.0,0.7586074824625247
k1_doppler_full,mc_dlsk,11.0,0.8114548781789296
k1_doppler_full,mc_dlsk,13.0,0.8522894447205993
k1_doppler_full,mc_dlsk,15.0,0.8824563454936483
k1_doppler_full,mc_dlsk,17.0,0.9036843231099312
k1_doppler_full,mc_dlsk,19.0,0.917458957365873
k1_doppler_full,mc_dlsk,20.0,0.9226945302782792
k3_doppler_full,conv1d,-5.0,0.2611219887464011
k3_doppler_full,conv1d,-3.0,0.3508193604229294
k3_doppler_full,conv1d,-1.0,0.4404376933298515
k3_doppler_full,conv1d,1.0,0.524702812156549
k3_doppler_full,conv1d,3.0,0.5971225098762947
k3_doppler_full,conv1d,5.0,0.6608548212603372
k3_doppler_full,conv1d,7.0,0.7052226511634968
k3_doppler_full,conv1d,9.0,0.7371831861343717
k3_doppler_full,conv1d,11.0,0.7587243710114467
k3_doppler_full,conv1d,13.0,0.7718158563565274
k3_doppler_full,conv1d,15.0,0.7799205231372283
k3_doppler_full,conv1d,17.0,0.785494348494327
k3_doppler_full,conv1d,19.0,0.7883084899151547
k3_doppler_full,conv1d,20.0,0.7894711723002906
k3_doppler_full,qkv,-5.0,0.2616641701573322
k3_doppler_full,qkv,-3.0,0.3489662831766109
k3_doppler_full,qkv,-1.0,0.4354988038133825
k3_doppler_full,qkv,1.0,0.5170635292040436
k3_doppler_full,qkv,3.0,0.5896509466052646
k3_doppler_full,qkv,5.0,0.6555435134089006
k3_doppler_full,qkv,7.0,0.7022845144185854
k3_doppler_full,qkv,9.0,0.7355989452696912
k3_doppler_full,qkv,11.0,0.7569170456342611
k3_doppler_full,qkv,13.0,0.7702315787914907
k3_doppler_full,qkv,15.0,0.7785933037844307
k3_doppler_full,qkv,17.0,0.7841483253583219
k3_doppler_full,qkv,19.0,0.787082700977913
k3_doppler_full,qkv,20.0,0.78795832608119
k3_doppler_full,lstm,-5.0,0.2517868480977558
k3_doppler_full,lstm,-3.0,0.3410167522414522
k3_doppler_full,lstm,-1.0,0.4286425427048298
k3_doppler_full,lstm,1.0,0.5120335489376977
k3_doppler_full,lstm,3.0,0.5861600202443975
k3_doppler_full,lstm,5.0,0.6509956068775082
k3_doppler_full,lstm,7.0,0.6979000902563133
k3_doppler_full,lstm,9.0,0.7317198025701612
k3_doppler_full,lstm,11.0,0.7538060628676182
k3_doppler_full,lstm,13.0,0.7677662474934339
k3_doppler_full,lstm,15.0,0.7758897198863641
k3_doppler_full,lstm,17.0,0.7815722892508776
k3_doppler_full,lstm,19.0,0.7840017955056553
k3_doppler_full,lstm,20.0,0.7849799689873503
k3_doppler_full,mc_dlsk,-5.0,0.256636004803812
k3_doppler_full,mc_dlsk,-3.0,0.3473466868182329
k3_doppler_full,mc_dlsk,-1.0,0.4331968443962772
k3_doppler_full,mc_dlsk,1.0,0.5160424075379071
k3_doppler_full,mc_dlsk,3.0,0.5879263256756796
k3_doppler_full,mc_dlsk,5.0,0.6510406598206766
k3_doppler_full,mc_dlsk,7.0,0.6972498087185103
k3_doppler_full,mc_dlsk,9.0,0.7294185176200528
k3_doppler_full,mc_dlsk,11.0,0.7519201985425901
k3_doppler_full,mc_dlsk,13.0,0.7650346354520564
k3_doppler_full,mc_dlsk,15.0,0.7731809627390277
k3_doppler_full,mc_dlsk,17.0,0.7783695237209027
k3_doppler_full,mc_dlsk,19.0,0.7817212980443448
k3_doppler_full,mc_dlsk,20.0,0.7826531864735302
k3_doppler_limited,conv1d,-5.0,0.2621728669977211
k3_doppler_limited,conv1d,-3.0,0.3528515884611257
k3_doppler_limited,conv1d,-1.0,0.4439935772847871
k3_doppler_limited,conv1d,1.0,0.5292552027719031
k3_doppler_limited,conv1d,3.0,0.6026261968358526
k3_doppler_limited,conv1d,5.0,0.6647785496108475
k3_doppler_limited,conv1d,7.0,0.7085170746183169
k3_doppler_limited,conv1d,9.0,0.740429516160627
k3_doppler_limited,conv1d,11.0,0.7611974726465366
k3_doppler_limited,conv1d,13.0,0.7742961724171742
k3_doppler_limited,conv1d,15.0,0.7820934107427784
k3_doppler_limited,conv1d,17.0,0.7874357692133628
