snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.10799,90.41953223533939,5.39769072073925e-10,10799,100000,0.1762541818475806,-0.0014305560250063216
-3.0,0.03702,86.09036066025618,5.348530297834245e-10,3702,100000,0.24920698486811013,-0.0027647314942552317
-1.0,0.01027,80.6544316536147,5.332381133807786e-10,1027,100000,0.33791527440422214,-0.008573825051406674
1.0,0.00332,73.97257960343836,5.341692529301171e-10,332,100000,0.4282437170114026,0.0003314082741004367
3.0,0.000945,65.99009622262491,5.348160914127177e-10,189,200000,0.5226053713846485,0.0026325707454504838
5.0,0.0004366666666666667,56.29116986645578,5.344510952533862e-10,131,300000,0.6186073029648164,0.0005198219136568664
7.0,0.000216,46.74238992054626,5.340525862267663e-10,108,500000,0.6995851904173255,-0.0021807341194675714
9.0,0.00017,37.478733511815726,5.342544945902326e-10,102,600000,0.7689565355955861,0.002187880715083758
11.0,8.615384615384615e-05,29.620405159891586,5.341777278470073e-10,112,1300000,0.8229459769420167,0.0009854742874719873
13.0,9.454545454545455e-05,23.480947500885886,5.345604166867541e-10,104,1100000,0.8624086633072281,0.0008103064383433547
15.0,9.454545454545455e-05,18.95722108372558,5.346059935555878e-10,104,1100000,0.8902699113313564,0.00020966339590375703
17.0,8.333333333333333e-05,15.959221012964264,5.347408125086651e-10,100,1200000,0.9083361697069811,0.0012693314488215369
19.0,7.5e-05,14.001745821497826,5.347828122288249e-10,105,1400000,0.9199962985382472,0.0006664873997740964
21.0,7.142857142857143e-05,12.70075239261448,5.357775033695698e-10,100,1400000,0.9277340991118859,-0.0012158749488661224
