snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.09169,85.68876495043003,5.394892431882858e-10,9169,100000,0.2599466118966967,-0.00020387297080380333
-3.0,0.03043,80.17930806822761,5.362299055075972e-10,3043,100000,0.3431716840919008,0.0013777009785911455
-1.0,0.00822,74.03714517759471,5.33554480155665e-10,822,100000,0.4296789745701114,-0.0013103449111400048
1.0,0.00253,67.25369282071131,5.350505996474653e-10,253,100000,0.5124847622663853,-0.005694097214568198
3.0,0.00108,59.734757513714804,5.3308857609221e-10,108,100000,0.5863633447116052,0.0018470623672392284
5.0,0.00058,52.843729771691414,5.322318839277622e-10,116,200000,0.6512011424970369,0.0006601944480842222
7.0,0.0003733333333333333,46.929993740601304,5.345633063444463e-10,112,300000,0.698421094516694,0.0008880214906627396
9.0,0.00034333333333333335,42.50467065160759,5.34921190114861e-10,103,300000,0.731504399678864,0.00139388303272863
11.0,0.00029,39.4777719506633,5.339850888785332e-10,116,400000,0.7538468292174941,0.00035719779808029967
13.0,0.00025,37.39256527389354,5.331774418797742e-10,100,400000,0.7679932598225669,0.0006783819181484338
15.0,0.000224,36.26407277580014,5.339356975434811e-10,112,500000,0.7763742614048242,0.0008730328231111247
17.0,0.000232,35.253566695062275,5.336756649722277e-10,116,500000,0.7822114357631674,0.0013116770998742044
19.0,0.00020333333333333333,34.83325148969415,5.330186620982309e-10,122,600000,0.7848458470455081,0.003312840242967651
21.0,0.000185,34.607632925918566,5.331380850920729e-10,111,600000,0.7868685177364896,-0.0013463071934483825
