snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.09533,85.30866850948645,5.3785951809773e-10,9533,100000,0.26062848448727305,-0.0028481513848375812
-3.0,0.03394,79.95774258266395,5.359928258744545e-10,3394,100000,0.34470085845498927,0.001090727278033857
-1.0,0.01125,73.92899096787045,5.335421460803498e-10,1125,100000,0.4309511305259348,0.0006010484977501593
1.0,0.0044,67.34591394466337,5.352477978450953e-10,440,100000,0.5113740307947915,-0.006836070313768641
3.0,0.00229,59.62064098487053,5.331605055410803e-10,229,100000,0.5874093381466587,0.004401768774715482
5.0,0.00133,52.71473099602258,5.30731528202933e-10,133,100000,0.6529950212565513,-0.0018720092550238536
7.0,0.00112,46.66913975187202,5.365942218055349e-10,112,100000,0.7000438461845361,-0.000801125282742641
9.0,0.00088,42.327914562976005,5.351841828355036e-10,176,200000,0.7333356395795488,0.002083281480257257
11.0,0.00074,39.22778479971947,5.359059412157484e-10,148,200000,0.7557592768189465,0.00417407916634387
13.0,0.000825,37.177153743443306,5.336533286080462e-10,165,200000,0.769457380305773,-0.0009422730865906678
15.0,0.000635,36.10394174190106,5.329821598916506e-10,127,200000,0.7776817364886716,-0.00036816543909328424
17.0,0.000695,35.067786220879555,5.337351988058711e-10,139,200000,0.7832557198678897,-0.002752677036596944
19.0,0.000765,34.64341283815171,5.339385449619049e-10,153,200000,0.785782805717878,0.0012408639654215483
21.0,0.00064,34.44309459572645,5.330622524754292e-10,128,200000,0.7886272198923515,-0.003802657527581997
