snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.1083,86.16552510158549,5.386349123343644e-10,10830,100000,0.25478247303722834,0.002566958329247313
-3.0,0.04102,80.50392136275481,5.367238657993797e-10,4102,100000,0.3406218058331995,-0.0018996112479918216
-1.0,0.0117,74.452508530123,5.33938083040111e-10,1170,100000,0.42561267707801487,-0.0027892367391408627
1.0,0.00339,67.49505378709189,5.353522348496584e-10,339,100000,0.5096796379669162,-0.004790392312058025
3.0,0.00103,59.9879814818341,5.334246872611335e-10,103,100000,0.583302326875759,0.0023761559157378896
5.0,0.00041,53.13762866919133,5.322333433013076e-10,123,300000,0.6477062780146033,0.0008205227621489497
7.0,0.0002575,47.36321124093785,5.352276005461601e-10,103,400000,0.694431274244133,0.0009979242783740765
9.0,0.00019166666666666667,43.0549875733012,5.345456779429508e-10,115,600000,0.7278545702142577,-0.0003043203287925832
11.0,0.00012,40.17470297024407,5.338285628314032e-10,108,900000,0.748696998288758,0.00011506542289699064
13.0,0.00010272727272727273,38.2682471465356,5.337125913156775e-10,113,1100000,0.7622050398697974,0.0003445415032611411
15.0,0.000125,37.04661752599319,5.340021110492112e-10,100,800000,0.7710228017813238,0.00029037195984212753
17.0,9.454545454545455e-05,36.06941413397865,5.342108962584272e-10,104,1100000,0.7767578658066998,0.00040038134581975803
19.0,9.363636363636364e-05,35.6658579700686,5.337262160810513e-10,103,1100000,0.7795456813907364,0.001349077274402763
21.0,8.538461538461538e-05,35.417053600869544,5.337230734704068e-10,111,1300000,0.7812582813118111,0.0009758566033459515
