snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.20155,92.03975357382033,5.343955210954513e-10,20155,100000,0.003303608033322935,-0.0029581907081124457
-3.0,0.11583,91.07500835476279,5.354354276593596e-10,11583,100000,0.004712248999161144,-0.004674643839436024
-1.0,0.05507,91.48384922709069,5.249392342940024e-10,5507,100000,-0.0038261195607694914,-0.0018974835819818541
1.0,0.02294,90.13108968414976,5.327619040921284e-10,2294,100000,0.006036828965225308,0.0038527347135066605
3.0,0.00818,93.15310741514399,5.417157359435419e-10,818,100000,0.0023805101876564704,0.0018755636532178752
5.0,0.00357,90.93745405979907,5.326571300971655e-10,357,100000,0.00952629238875894,0.004184875586229819
7.0,0.00175,90.19178061959242,5.357455869234614e-10,175,100000,0.008943134342849178,0.0026240797294720883
9.0,0.000725,90.53711041294322,5.401682631777981e-10,145,200000,0.004792610146598211,0.00013878783328972024
11.0,0.00038666666666666667,91.01916614887105,5.35389159267761e-10,116,300000,0.011072969157375465,-0.001490753344920926
13.0,0.0003,90.7263485733847,5.349925122328069e-10,120,400000,0.00808422935553991,0.0016624276857249278
15.0,0.0002725,91.45902555360878,5.344126617208235e-10,109,400000,0.004100686229370917,-0.001558723132589853
17.0,0.000205,90.62011655550525,5.34079897690516e-10,123,600000,0.005004725478885838,-0.0014017977405029556
19.0,0.000204,90.95680388390193,5.361913096665094e-10,102,500000,0.00563151519076618,0.0004672012382172532
21.0,0.00014571428571428572,91.12848377939775,5.379114701668018e-10,102,700000,0.004989253836188147,-0.0009424685666211365
