snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.179,92.58172275983978,5.406771871240983e-10,17900,100000,0.011195481663383128,0.00041222245897359417
-3.0,0.09618,91.22295276289903,5.368303838672317e-10,9618,100000,0.01799934171615776,-0.0008020493871541799
-1.0,0.04233,91.54120660028478,5.25024977253314e-10,4233,100000,0.010931506849439299,0.0004707639671737062
1.0,0.0156,90.17160632837499,5.330874139913979e-10,1560,100000,0.014679307004953568,-0.0008059006870561225
3.0,0.00557,93.09270391041419,5.407662220912649e-10,557,100000,0.019368680977607373,0.005087108772623865
5.0,0.00237,90.88191363008717,5.320307397263127e-10,237,100000,0.02201815663564904,-0.004278296463913654
7.0,0.001,90.14435189202884,5.349358990325285e-10,100,100000,0.01957674711177204,5.616377447116317e-06
9.0,0.00051,90.4642666588136,5.389972879620978e-10,102,200000,0.01705693980277934,-0.001400863142585204
11.0,0.00034666666666666667,90.93045340616558,5.34090082938216e-10,104,300000,0.024388220746004875,0.0007310877836960675
13.0,0.000275,90.62149006343925,5.336774835735102e-10,110,400000,0.021291728040221784,0.003022285021844313
15.0,0.000258,91.33250691587496,5.327249515961453e-10,129,500000,0.020171739578400544,0.0014602884689092338
17.0,0.00017833333333333332,90.47874470766234,5.32493249579632e-10,107,600000,0.02249130505966114,-0.0014784190640792837
19.0,0.00017166666666666667,90.9805210865574,5.357015138008229e-10,103,600000,0.018583800779518794,-0.0017379130567306395
21.0,0.00016285714285714287,90.97802014604551,5.363725315445708e-10,114,700000,0.022432701061166526,-0.00043838333141839916
