snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.10998,86.83167403355245,1.343307106273485e-10,10998,100000,0.2562843575950513,-0.0012551950197075316
-3.0,0.03881,80.3549102236606,1.340405507710643e-10,3881,100000,0.3434556672404353,0.0023965606672094793
-1.0,0.01115,73.96858347792929,1.33472285087739e-10,1115,100000,0.4306446754512363,-0.0009030076610974688
1.0,0.00416,67.18689062535366,1.338756681395022e-10,416,100000,0.5133466996932811,-0.004349026453992687
3.0,0.00163,59.68580660060087,1.3342712454499414e-10,163,100000,0.5869034031332718,0.000493754238277832
5.0,0.000695,52.74363981470285,1.3319459383820824e-10,139,200000,0.6515788674815294,0.0013019022323427674
7.0,0.00044,46.92063936710794,1.3382963347911162e-10,132,300000,0.6975120104756544,-0.0014505618862546382
9.0,0.000295,42.61119045319691,1.3393960061888935e-10,118,400000,0.7299805725234019,0.002526952238906607
11.0,0.000228,39.49989859861963,1.3348430118198406e-10,114,500000,0.7523848051578773,0.0016806541847256924
13.0,0.00020333333333333333,37.52978618367739,1.33479319427033e-10,122,600000,0.7661077668745623,0.00013795227084926576
15.0,0.00016666666666666666,36.50272459773698,1.3367847932578442e-10,100,600000,0.7740689460161378,0.0006662211603736523
17.0,0.00017833333333333332,35.53935715950237,1.3354321051191196e-10,107,600000,0.7797950287343226,-0.0009511750381459786
19.0,0.00018142857142857142,35.12325360241135,1.3346701897541358e-10,127,700000,0.782673265889307,-0.0002590802449233199
21.0,0.00015,34.90506291048489,1.3345606877842044e-10,105,700000,0.784729408823518,0.0002547630074373614
