snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.09053,85.61329178719521,1.339774754652281e-10,9053,100000,0.2649094692007645,-0.0012506387335892916
-3.0,0.02975,79.94304508962854,1.338414868475342e-10,2975,100000,0.3501144750860778,0.0005246252818521029
-1.0,0.00823,73.5707108490019,1.33275561499359e-10,823,100000,0.43800891556058086,0.0007595829969714728
1.0,0.00256,66.73822923626388,1.3373229030171866e-10,256,100000,0.5197833286843324,-0.007074060261743017
3.0,0.00121,58.98821960104882,1.3322949947615232e-10,121,100000,0.5940206539035331,0.0052396328009479375
5.0,0.00067,52.07400999261551,1.3305651154892224e-10,134,200000,0.6575726330788296,0.00038525393144316777
7.0,0.00044,46.137822334605154,1.3365429739688818e-10,132,300000,0.7043291172352063,-0.00019838834530104142
9.0,0.0004366666666666667,41.75518558995765,1.3374872675807335e-10,131,300000,0.7367588638795047,0.00018147679201461014
11.0,0.00033666666666666665,38.724408178068,1.3372830075485645e-10,101,300000,0.7589401403475048,-0.0009317018513603939
13.0,0.0002975,36.68613898236605,1.3331814691398496e-10,119,400000,0.7726954726896595,-0.00041996210341364333
15.0,0.000265,35.74349661015817,1.3330849697132362e-10,106,400000,0.7799655508186308,0.00013640185745144274
17.0,0.00028,34.64452447119488,1.3359362342047662e-10,112,400000,0.7860440972783763,0.0006863525099551703
19.0,0.000255,34.23952996918786,1.3323822590867406e-10,102,400000,0.7887503320899836,0.001860310999742482
21.0,0.000204,34.05275070208971,1.3313266086574956e-10,102,500000,0.7905274541112293,-0.0013050479716211721
