snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.09095,85.32562393870417,1.3399732327120147e-10,9095,100000,0.2609662234623362,0.0033132388781437717
-3.0,0.03062,79.93605945719138,1.3375951082400184e-10,3062,100000,0.3447956241155132,0.0031799947333438815
-1.0,0.00895,73.9853481545737,1.3324752748646942e-10,895,100000,0.43012793948886296,-0.001910775245422318
1.0,0.003,67.39124042135451,1.3367352032231613e-10,300,100000,0.5118244932623269,-0.007368963026189556
3.0,0.0012,59.94909359397322,1.3319582670009987e-10,120,100000,0.5855266075461856,0.0037504542015201654
5.0,0.000635,53.05994712237511,1.3300736665929713e-10,127,200000,0.6508171522028094,0.0016482914264555268
7.0,0.00044,47.086261758981195,1.3361201243539832e-10,132,300000,0.6987471428334828,-0.0011699100689123003
9.0,0.00042,42.64649978421252,1.3369387171062331e-10,126,300000,0.73201043106898,0.001910445891356716
11.0,0.00035666666666666664,39.46488630734766,1.3368256237434732e-10,107,300000,0.7554739867314925,-0.0008492501200649319
13.0,0.000305,37.443198714223804,1.332679391078529e-10,122,400000,0.7690677229571339,-0.0005447992990154562
15.0,0.000246,36.261202706922276,1.3344398897708886e-10,123,500000,0.7777593203754393,0.00279409365132252
17.0,0.000295,35.224346449660494,1.335440239275051e-10,118,400000,0.7834172144694104,-0.00028741102487846474
19.0,0.000246,34.77279939255485,1.330742797460101e-10,123,500000,0.7863324522099522,0.0012990802522335268
21.0,0.000226,34.60791350393246,1.330665208470394e-10,113,500000,0.7879061532682384,0.0018977841492011241
