snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.11017,85.7305617529155,1.3438958886867658e-10,11017,100000,0.25931524175170256,0.003243710238834862
-3.0,0.04007,80.26386473998744,1.3393990450958172e-10,4007,100000,0.34304324888214416,-0.0008734393136239412
-1.0,0.01065,74.08480450614843,1.3333695178278537e-10,1065,100000,0.4299617833288378,-0.0031004971588483705
1.0,0.003,67.08465085641306,1.3370372419903604e-10,300,100000,0.5144867006511662,-0.001465930225053107
3.0,0.000895,59.553133796325774,1.3384532752227528e-10,179,200000,0.5880369514192003,0.0006574928384683604
5.0,0.00042,52.63405428661868,1.3302326710397038e-10,126,300000,0.6517982829476073,-0.0016622923438716695
7.0,0.00027,46.86906379027486,1.3375931515748765e-10,108,400000,0.697818590361482,0.0010762861757926932
9.0,0.00019333333333333333,42.58739160253133,1.3358038461844816e-10,116,600000,0.730656042961185,0.0007110760249757691
11.0,0.00012875,39.73217226190665,1.334719325139688e-10,103,800000,0.7511575666137655,0.00037589087116202504
13.0,0.000104,37.8640915338394,1.3334766904279908e-10,104,1000000,0.7643484900019267,-0.0004512808154936539
15.0,0.00012875,36.746232005366814,1.3344167063127423e-10,103,800000,0.772543528504146,0.0010878451356850262
17.0,0.00011222222222222223,35.788818732576765,1.3341079186429244e-10,101,900000,0.778316753238361,1.0535277794256565e-05
19.0,0.0001,35.414732321570284,1.3334066479188556e-10,100,1000000,0.7810423640068442,0.0005748184636568343
21.0,9.363636363636364e-05,35.222912555155446,1.3335741810966868e-10,103,1100000,0.7823662575726346,0.0008718516359007211
