scenario,arch,pooled_ber,min_snr_1e-4_db,best_ber
k1_doppler_full,conv1d,0.00014751925851925113,11.0,7.142857142857143e-05
k1_doppler_full,lstm,0.00020994708994706666,,0.0001471428571428
k1_doppler_full,mc_dlsk,0.0002784999999999889,,0.000185
k1_doppler_full,qkv,0.00011348554077501288,11.0,4.8e-05
k3_doppler_full,conv1d,0.0002938756613756222,,0.0001528571428571
k3_doppler_full,lstm,0.00029788888888887776,,0.000185
k3_doppler_full,mc_dlsk,0.0008477777777777777,,0.000635
k3_doppler_full,qkv,0.0001644955969955815,17.0,8.538461538461538e-05
k3_doppler_limited,conv1d,0.00028197354497352223,,0.00015
k3_doppler_limited,lstm,0.0003538703703703556,,0.000204
k3_doppler_limited,mc_dlsk,0.0003521851851851778,,0.000226
k3_doppler_limited,qkv,0.0001722991021324293,19.0,9.363636363636364e-05
