channel_variant,arch,snr_db,ber,n_errors,n_symbols,ber_ci_lo,ber_ci_hi,mse_tau,corr_tau,mse_fd,corr_fd
b_tdl_d_light,conv1d,-5.0,0.17094,17094,100000,0.16861939194360615,0.17328588849404702,103.50797083136274,-0.0017010971749073817,5.389924021152531e-10,0.001401275290309081
b_tdl_d_light,conv1d,-3.0,0.10495,10495,100000,0.10306554747222747,0.10686480272802441,103.0154722864838,-0.0034735796669578245,5.358402680907432e-10,0.0035258689987096832
b_tdl_d_light,conv1d,-1.0,0.06552,6552,100000,0.06400300033116067,0.06707037912714948,103.52592326127419,3.4379829177241534e-05,5.354574371487357e-10,-0.0014450258058508855
b_tdl_d_light,conv1d,1.0,0.04875,4875,100000,0.047432549837049726,0.05010211799705648,103.98130130045719,0.0004087385403043832,5.309293855371809e-10,0.002726555024290274
b_tdl_d_light,conv1d,3.0,0.03993,3993,100000,0.03873404104034697,0.04116130440106519,104.8177546119166,0.002941113713261701,5.363432042597726e-10,-0.0018872192866474056
b_tdl_d_light,conv1d,5.0,0.03606,3606,100000,0.03492216357349502,0.037233479185408536,104.83182761368855,0.001310161002356404,5.325525446752957e-10,-0.003159124497676465
b_tdl_d_light,conv1d,7.0,0.03348,3348,100000,0.03238287138516054,0.03461296958540395,104.54973692059077,-0.004485587453786628,5.373450800947789e-10,0.002134674556118211
b_tdl_d_light,conv1d,9.0,0.03158,3158,100000,0.03051397289776672,0.03268201404262558,104.02961380992622,-0.0007429852095973163,5.318901015857665e-10,0.0029545014345096847
b_tdl_d_light,conv1d,11.0,0.03,3000,100000,0.028960629210983645,0.03107547911484442,103.30557537228597,0.0013060033802962357,5.313199688872995e-10,0.0011690418612887317
b_tdl_d_light,conv1d,13.0,0.03005,3005,100000,0.029009774027479496,0.031126330457037308,103.1824897061082,-0.010908508690121185,5.326241200537002e-10,0.005182491381973085
b_tdl_d_light,conv1d,15.0,0.02915,2915,100000,0.028125288233996636,0.030210885394122814,102.46429973328996,-0.003217184933685474,5.30170691603409e-10,-0.0004891896266985116
b_tdl_d_light,conv1d,17.0,0.02942,2942,100000,0.028390606833036906,0.030485546052001756,103.68999426846908,-0.007742093898642022,5.351978567813027e-10,-0.003289039164131161
b_tdl_d_light,conv1d,19.0,0.03076,3076,100000,0.029707713511527057,0.031848336426369875,104.75918186304153,-0.005325382038472245,5.380902459959365e-10,0.0009306020272789101
b_tdl_d_light,conv1d,21.0,0.02987,2987,100000,0.028832856343049173,0.030943261970188162,105.01710347499697,-0.0028365544724447706,5.39002179448238e-10,-0.00545379617599222
