arch,channel_variant,channel_model,channel_fingerprint,hold_mode,pooled_ber,pooled_ber_ci_lo,pooled_ber_ci_hi,min_snr_at_target,corr_tau_top,mse_tau_top,n_symbols_total,diagnostics
conv1d,b_tdl_a,tdl_3gpp,57cf7037,per_hop,0.20419,0.2033584479794439,0.205024077214075,,0.0086541358395154,102.83394527389038,1400000,"{""band_spacing_hz"": 1250000.0, ""clutter_fading"": ""rayleigh"", ""clutter_power_fraction"": 0.25, ""dropped_power_fraction"": 3.883328304477018e-06, ""frequency_correlation_at_spacing"": 0.49127835435785233, ""los_tap_folded_into_direct_path"": 0.0, ""max_tap_delay_samples"": 33.0, ""mean_tap_power"": 0.08333333333333333, ""min_nonzero_tap_delay_samples"": 3.0000000000000004, ""n_taps_in_window"": 12.0, ""pdp_kind"": ""exponential"", ""profile"": ""TDL-A"", ""rms_delay_spread_ns"": 300.0, ""time_block_slots"": 53}"
qkv,b_tdl_a,tdl_3gpp,57cf7037,per_hop,0.2158266666666666,0.2149779461127952,0.2166778130772015,,0.0086091648560491,101.49774667864703,1400000,"{""band_spacing_hz"": 1250000.0, ""clutter_fading"": ""rayleigh"", ""clutter_power_fraction"": 0.25, ""dropped_power_fraction"": 3.883328304477018e-06, ""frequency_correlation_at_spacing"": 0.49127835435785233, ""los_tap_folded_into_direct_path"": 0.0, ""max_tap_delay_samples"": 33.0, ""mean_tap_power"": 0.08333333333333333, ""min_nonzero_tap_delay_samples"": 3.0000000000000004, ""n_taps_in_window"": 12.0, ""pdp_kind"": ""exponential"", ""profile"": ""TDL-A"", ""rms_delay_spread_ns"": 300.0, ""time_block_slots"": 53}"
conv1d,b_tdl_d,tdl_3gpp,7b659269,per_hop,0.15434,0.1535950886558346,0.1550878620841395,,0.003100776725324,103.3604887452452,1400000,"{""band_spacing_hz"": 1250000.0, ""clutter_fading"": ""rayleigh"", ""clutter_power_fraction"": 0.25, ""dropped_power_fraction"": 1.0556155880858675e-05, ""frequency_correlation_at_spacing"": 0.49127835435785233, ""los_tap_folded_into_direct_path"": 1.0, ""max_tap_delay_samples"": 33.0, ""mean_tap_power"": 0.09090909090909093, ""min_nonzero_tap_delay_samples"": 3.0000000000000004, ""n_taps_in_window"": 11.0, ""pdp_kind"": ""exponential"", ""profile"": ""TDL-D"", ""rms_delay_spread_ns"": 300.0, ""time_block_slots"": 53}"
qkv,b_tdl_d,tdl_3gpp,7b659269,per_hop,0.1684144444444444,0.1676426990345716,0.1691890204472514,,0.0046282621370611,100.34317157416366,1400000,"{""band_spacing_hz"": 1250000.0, ""clutter_fading"": ""rayleigh"", ""clutter_power_fraction"": 0.25, ""dropped_power_fraction"": 1.0556155880858675e-05, ""frequency_correlation_at_spacing"": 0.49127835435785233, ""los_tap_folded_into_direct_path"": 1.0, ""max_tap_delay_samples"": 33.0, ""mean_tap_power"": 0.09090909090909093, ""min_nonzero_tap_delay_samples"": 3.0000000000000004, ""n_taps_in_window"": 11.0, ""pdp_kind"": ""exponential"", ""profile"": ""TDL-D"", ""rms_delay_spread_ns"": 300.0, ""time_block_slots"": 53}"
conv1d,b_tdl_d_light,tdl_3gpp,8267e992,per_hop,0.0311522222222222,0.0307952973656377,0.0315131494160157,,0.0029411137132617,102.46429973328996,1400000,"{""band_spacing_hz"": 1250000.0, ""clutter_fading"": ""rayleigh"", ""clutter_power_fraction"": 0.05, ""dropped_power_fraction"": 1.0556155880858675e-05, ""frequency_correlation_at_spacing"": 0.49127835435785233, ""los_tap_folded_into_direct_path"": 1.0, ""max_tap_delay_samples"": 33.0, ""mean_tap_power"": 0.09090909090909093, ""min_nonzero_tap_delay_samples"": 3.0000000000000004, ""n_taps_in_window"": 11.0, ""pdp_kind"": ""exponential"", ""profile"": ""TDL-D"", ""rms_delay_spread_ns"": 300.0, ""time_block_slots"": 53}"
qkv,b_tdl_d_light,tdl_3gpp,8267e992,per_hop,0.0366433333333333,0.0362571405110592,0.0370334816177339,,0.0007142282401282,100.57448505358758,1400000,"{""band_spacing_hz"": 1250000.0, ""clutter_fading"": ""rayleigh"", ""clutter_power_fraction"": 0.05, ""dropped_power_fraction"": 1.0556155880858675e-05, ""frequency_correlation_at_spacing"": 0.49127835435785233, ""los_tap_folded_into_direct_path"": 1.0, ""max_tap_delay_samples"": 33.0, ""mean_tap_power"": 0.09090909090909093, ""min_nonzero_tap_delay_samples"": 3.0000000000000004, ""n_taps_in_window"": 11.0, ""pdp_kind"": ""exponential"", ""profile"": ""TDL-D"", ""rms_delay_spread_ns"": 300.0, ""time_block_slots"": 53}"
conv1d,c_two_ray_jakes,two_ray_jakes,f0412f40,per_hop,0.0582388888888888,0.0577569295929844,0.0587246192956236,,0.0048995412620834,102.99133224070152,1400000,"{""band_spacing_hz"": 1250000.0, ""doppler_hz"": 160.11076569511297, ""excess_delay_ns"": 166.782047599076, ""excess_delay_samples"": 1.6678204759907602, ""min_delay_samples"": 1.0, ""power_fraction"": 0.21777777777777774, ""power_fraction_derived"": 0.21777777777777774, ""slot_seconds"": 9.999999999999999e-06, ""time_block_slots"": 53}"
qkv,c_two_ray_jakes,two_ray_jakes,f0412f40,per_hop,0.0648366666666666,0.0643297992971484,0.0653472488248297,,0.0039299924209076,100.9363626041767,1400000,"{""band_spacing_hz"": 1250000.0, ""doppler_hz"": 160.11076569511297, ""excess_delay_ns"": 166.782047599076, ""excess_delay_samples"": 1.6678204759907602, ""min_delay_samples"": 1.0, ""power_fraction"": 0.21777777777777774, ""power_fraction_derived"": 0.21777777777777774, ""slot_seconds"": 9.999999999999999e-06, ""time_block_slots"": 53}"
conv1d,nominal,aerial_multiecho,8ba7e539,per_symbol,0.0002747058823529,0.0002508981583929,0.000300772041373,,0.7767160767736297,36.070708574357454,2200000,"{""model"": ""aerial_multiecho""}"
qkv,nominal,aerial_multiecho,8ba7e539,per_symbol,0.0001661111111111,0.0001483209114823,0.0001860347409661,15.0,0.7766153313467362,35.983582340132905,2300000,"{""model"": ""aerial_multiecho""}"
