channel_variant,arch,snr_db,ber,n_errors,n_symbols,ber_ci_lo,ber_ci_hi,mse_tau,corr_tau,mse_fd,corr_fd
b_tdl_a,lstm,-5.0,0.25456,25456,100000,0.2518695520711883,0.25726930415751653,100.93514883165184,0.0015176726115150373,5.458962400650275e-10,-0.0009553749203889684
b_tdl_a,lstm,-3.0,0.20654,20654,100000,0.20404222605027392,0.20906031937376332,100.44444435088847,0.0006583126451470242,5.392717707104737e-10,-0.0007931455159237273
b_tdl_a,lstm,-1.0,0.18304,18304,100000,0.18065544739818662,0.18544890344214204,102.82095809679255,-0.002290241664423332,5.357385803441637e-10,-0.003932665658001066
b_tdl_a,lstm,1.0,0.17538,17538,100000,0.17303545224556496,0.1777494870836485,101.74347381871416,0.002015391133931786,5.323640620952296e-10,-0.0010732918238062993
b_tdl_a,lstm,3.0,0.16617,16617,100000,0.16387574944054203,0.16848989745820517,102.72199042649191,0.00025729044031908585,5.331932477097267e-10,-0.0020191140783527837
b_tdl_a,lstm,5.0,0.16339,16339,100000,0.16111142462316927,0.16569443585248392,102.27905975313067,-0.004429775761053863,5.320780761597152e-10,-0.003400662094675144
b_tdl_a,lstm,7.0,0.16169,16169,100000,0.15942112660161314,0.1639848644786228,103.1121456360591,-0.0043600829478482655,5.381072039823158e-10,0.0006177163578844202
b_tdl_a,lstm,9.0,0.15974,15974,100000,0.15748236590024794,0.16202377499112708,101.91945566436232,-0.007209738793201521,5.294811962638915e-10,-0.003577675949221704
b_tdl_a,lstm,11.0,0.1568,15680,100000,0.15455953836617317,0.15906682839430383,103.89517172631287,-0.001341529730038742,5.398010297789751e-10,3.4285093684175124e-05
b_tdl_a,lstm,13.0,0.16058,16058,100000,0.15831750977087503,0.16286856658647084,104.15593170731887,0.012048924682870742,5.337844351893201e-10,-0.004085398642208915
b_tdl_a,lstm,15.0,0.1578,15780,100000,0.15555366644644197,0.16007262348780987,105.94014943534945,0.0032211261228398606,5.380712723192612e-10,-0.004861679602730598
b_tdl_a,lstm,17.0,0.1569,15690,100000,0.15465894972808944,0.15916740934976506,108.85529724608354,-0.0020861268009547368,5.347616672120066e-10,0.00042514662230101123
b_tdl_a,lstm,19.0,0.1582,15820,100000,0.15595132664642264,0.16047493255733913,109.81156526272824,0.005267176289655467,5.378441512077426e-10,-0.00026595934286814324
b_tdl_a,lstm,21.0,0.15654,15654,100000,0.15430107033406226,0.1588053164012333,109.2199738604123,0.008077948206731203,5.335615765966921e-10,0.002163631826383599
