channel_variant,arch,snr_db,ber,n_errors,n_symbols,ber_ci_lo,ber_ci_hi,mse_tau,corr_tau,mse_fd,corr_fd
b_tdl_d_light,lstm,-5.0,0.13677,13677,100000,0.134654305138416,0.13891360045135107,100.52185873249228,-0.0013150875353935866,5.412032304664906e-10,-0.0019330170834562994
b_tdl_d_light,lstm,-3.0,0.06715,6715,100000,0.06561533489937388,0.06871791933218926,101.48667295580616,-0.005208438011053645,5.36284650315924e-10,-0.003849037344238542
b_tdl_d_light,lstm,-1.0,0.0345,3450,100000,0.03338657634153328,0.035649186266281545,102.59733726406652,0.001239487504274201,5.351111872394769e-10,-0.00464584692416993
b_tdl_d_light,lstm,1.0,0.02428,2428,100000,0.02334414649832567,0.02525240127351034,103.47931163859941,0.0004106816651869386,5.306015337012477e-10,0.0013193720087085067
b_tdl_d_light,lstm,3.0,0.02,2000,100000,0.019150546032687867,0.020886330555391856,104.23447359742792,0.0018423741962227407,5.354923735534514e-10,0.0061481536099486376
b_tdl_d_light,lstm,5.0,0.02014,2014,100000,0.01928757199248464,0.021029293839923566,104.09088715885699,0.0005959097375328032,5.317044369608586e-10,5.244464034433326e-05
b_tdl_d_light,lstm,7.0,0.01958,1958,100000,0.01873953497296649,0.0204573738821278,103.66760433410292,-0.00476193823280416,5.369045525836913e-10,-0.006720311950946479
b_tdl_d_light,lstm,9.0,0.01936,1936,100000,0.018524284247157616,0.02023264150970621,102.90852407184289,0.0013325493700965913,5.311066154838166e-10,0.001649895824145623
b_tdl_d_light,lstm,11.0,0.01925,1925,100000,0.018416669597352085,0.020120264610396513,102.24676045892811,-1.6058963712432594e-05,5.303838456338565e-10,-0.001701996973388374
b_tdl_d_light,lstm,13.0,0.01959,1959,100000,0.018749319769865564,0.020467588316966472,102.02913802531936,-0.011498435562121805,5.317724005252407e-10,0.0006677585021375432
b_tdl_d_light,lstm,15.0,0.01846,1846,100000,0.017644016703833337,0.019312978196633142,101.33114047039933,-0.003694723207153764,5.290162065644793e-10,-0.003485383379213959
b_tdl_d_light,lstm,17.0,0.01944,1944,100000,0.01860255394878091,0.020314365661984905,102.62405025700689,-0.007028210282186782,5.335249964729788e-10,0.005536512686488294
b_tdl_d_light,lstm,19.0,0.02015,2015,100000,0.019297359981258106,0.021039505082887846,103.76965050148429,-0.0057361695707916875,5.368192743513465e-10,-0.002504770041025314
b_tdl_d_light,lstm,21.0,0.01948,1948,100000,0.01864169021295895,0.020355226324757857,104.30552608792661,-0.005897940880735484,5.371271204600522e-10,0.0031016554878504055
