channel_variant,arch,snr_db,ber,n_errors,n_symbols,ber_ci_lo,ber_ci_hi,mse_tau,corr_tau,mse_fd,corr_fd
nominal,lstm,-5.0,0.09244,9244,100000,0.09066040990475775,0.09425090139157093,85.67576193013774,0.26015681064093443,5.388860204382352e-10,0.000462363027770791
nominal,lstm,-3.0,0.03112,3112,100000,0.03006165659043602,0.032214365690019856,81.15263718654231,0.3310217127836863,5.362647370245027e-10,0.0003302550788778952
nominal,lstm,-1.0,0.00838,838,100000,0.007833587408850743,0.008964181899965408,73.68931520553738,0.4297098580697729,5.347291208186055e-10,0.003061473181218277
nominal,lstm,1.0,0.00252,252,100000,0.0022277863095763618,0.00285043320091926,67.01019606205317,0.5083086088789025,5.342582099644994e-10,-0.005964647623426919
nominal,lstm,3.0,0.00101,101,100000,0.0008313661880741735,0.0012269693300214486,59.512178256503326,0.5861948017425309,5.331074775053185e-10,0.003048972361690991
nominal,lstm,5.0,0.00053,53,100000,0.00040525472199984356,0.0006931176726838582,52.86732886015871,0.648248180948719,5.33936407429378e-10,0.004023776383270236
nominal,lstm,7.0,0.00042,84,200000,0.0003392870788118688,0.000519903712561381,47.06866201744913,0.6960880127198161,5.331608979660814e-10,0.003472967351671334
nominal,lstm,9.0,0.00028,56,200000,0.0002156483959519627,0.0003635477733603403,42.80874256918789,0.7285708517739408,5.377282979808228e-10,-0.003354532434863595
nominal,lstm,11.0,0.00021,42,200000,0.00015537516344315405,0.0002838236948386757,40.00173828094835,0.7486715394021232,5.33767960873802e-10,-0.0029713730454527807
nominal,lstm,13.0,0.000305,61,200000,0.00023747147745286666,0.0003917237315131769,37.69585169978392,0.764418211775225,5.329140331356772e-10,-0.0009933985446360706
nominal,lstm,15.0,0.0002,40,200000,0.00014688782416644462,0.0002723114182538889,36.42335030852345,0.7739950728641732,5.331587798234363e-10,0.0020819905952809124
nominal,lstm,17.0,0.000305,61,200000,0.00023747147745286666,0.0003917237315131769,36.261645967975554,0.7752315865506085,5.335592742312893e-10,0.0012761857860837458
nominal,lstm,19.0,0.00031,62,200000,0.00024185168417510623,0.0003973433327216854,35.510062518724574,0.7804051390645305,5.349669971125075e-10,0.0007037521459010803
nominal,lstm,21.0,0.00019,38,200000,0.00013843790657942963,0.0002607617199794077,35.41481769656888,0.7805752673223074,5.335450969486857e-10,-0.00094196321479878
