channel_variant,arch,snr_db,ber,n_errors,n_symbols,ber_ci_lo,ber_ci_hi,mse_tau,corr_tau,mse_fd,corr_fd
b_tdl_d_light,qkv,-5.0,0.16518,16518,100000,0.16289130474854227,0.16749441820816782,100.57448505358758,0.00011977899112848578,5.405743605021705e-10,0.0007251999699218329
b_tdl_d_light,qkv,-3.0,0.10098,10098,100000,0.09912784425190033,0.10286281094846547,102.04567218336709,-0.005585775476380588,5.360514419859518e-10,0.0003223414275141615
b_tdl_d_light,qkv,-1.0,0.06448,6448,100000,0.06297441291794753,0.0660190464396368,104.13678347422088,-0.0029911565986675114,5.353805567959666e-10,-0.0012974403738280574
b_tdl_d_light,qkv,1.0,0.04981,4981,100000,0.0484788304175145,0.051175755980793027,105.21713910264008,-0.00016659486010289293,5.308287994924156e-10,-0.0025646886593463964
b_tdl_d_light,qkv,3.0,0.04244,4244,100000,0.041208026981652476,0.043707125625934526,106.30242529771031,0.0007142282401282201,5.356748826563857e-10,0.0060606764012534
b_tdl_d_light,qkv,5.0,0.04011,4011,100000,0.03891141642973865,0.04134391518295298,105.99885475723028,-0.0015874835597980233,5.323170410553484e-10,0.0012510607883849812
b_tdl_d_light,qkv,7.0,0.03884,3884,100000,0.037660078933759895,0.040055350248237705,104.7965170871034,-0.005286287147725636,5.369960048852374e-10,-0.0005948396898406805
b_tdl_d_light,qkv,9.0,0.03673,3673,100000,0.03558185934396891,0.03791373194136378,103.64605517404205,-0.0030156845592051494,5.315999008905872e-10,-0.00017942311899581492
b_tdl_d_light,qkv,11.0,0.03552,3552,100000,0.034390546426921305,0.036685137818143844,102.33595941454423,0.0001794391545018903,5.305104257058833e-10,0.004636914795729051
b_tdl_d_light,qkv,13.0,0.03559,3559,100000,0.034459455775531,0.036756223091698376,101.75687236275756,-0.010071024420951544,5.317033502952921e-10,0.005492594413254735
b_tdl_d_light,qkv,15.0,0.035,3500,100000,0.03387868610918513,0.0361570380855171,100.9570883525813,-0.004348728783434121,5.292040591348228e-10,0.0002281070747403549
b_tdl_d_light,qkv,17.0,0.03518,3518,100000,0.034055860964304366,0.03633984940167734,101.90177362376456,-0.006993994852873586,5.340419412284834e-10,-0.0016324859899470932
b_tdl_d_light,qkv,19.0,0.03699,3699,100000,0.03583788897831703,0.03817768233219713,102.87524910904655,-0.006654913092864309,5.364740134275066e-10,0.0013865924961470352
b_tdl_d_light,qkv,21.0,0.03583,3583,100000,0.03469572543934967,0.03699993498958568,103.14276072565876,-0.0061712899690365254,5.378458168512859e-10,0.0011468509184292903
