jsr_db,realization,f_cw,ber
-10.0,0,0.08333333333333333,0.00375
-8.0,0,0.08333333333333333,0.014
-6.0,0,0.08333333333333333,0.04725
-4.0,0,0.08333333333333333,0.135
-2.0,0,0.08333333333333333,0.316
0.0,0,0.08333333333333333,0.46375
2.0,0,0.08333333333333333,0.499
4.0,0,0.08333333333333333,0.5015
6.0,0,0.08333333333333333,0.5015
8.0,0,0.08333333333333333,0.5015
10.0,0,0.08333333333333333,0.5015
-10.0,1,0.25,0.0005
-8.0,1,0.25,0.0005
-6.0,1,0.25,0.0005
-4.0,1,0.25,0.001
-2.0,1,0.25,0.001
0.0,1,0.25,0.0015
2.0,1,0.25,0.00125
4.0,1,0.25,0.00225
6.0,1,0.25,0.00725
8.0,1,0.25,0.03275
10.0,1,0.25,0.087
-10.0,2,0.4166666666666667,0.00575
-8.0,2,0.4166666666666667,0.02675
-6.0,2,0.4166666666666667,0.0945
-4.0,2,0.4166666666666667,0.25075
-2.0,2,0.4166666666666667,0.4195
0.0,2,0.4166666666666667,0.48975
2.0,2,0.4166666666666667,0.49825
4.0,2,0.4166666666666667,0.4985
6.0,2,0.4166666666666667,0.4985
8.0,2,0.4166666666666667,0.4985
10.0,2,0.4166666666666667,0.4985
