waveform,snr_db,pd_plain,pd_channelized
proposed (CSK),0.0,0.0145,0.0100
proposed (CSK),2.0,0.0095,0.0110
proposed (CSK),4.0,0.0130,0.0085
proposed (CSK),6.0,0.0185,0.0065
proposed (CSK),8.0,0.0095,0.0150
proposed (CSK),10.0,0.0215,0.0140
proposed (CSK),12.0,0.0235,0.0140
proposed (CSK),14.0,0.0380,0.0110
proposed (CSK),16.0,0.0760,0.0165
proposed (CSK),18.0,0.1755,0.0240
proposed (CSK),20.0,0.4065,0.0425
proposed (CSK),22.0,0.8370,0.1170
proposed (CSK),24.0,0.9980,0.2970
OOK,0.0,0.0145,0.0105
OOK,2.0,0.0095,0.0110
OOK,4.0,0.0120,0.0125
OOK,6.0,0.0200,0.0130
OOK,8.0,0.0130,0.0380
OOK,10.0,0.0235,0.0805
OOK,12.0,0.0285,0.1955
OOK,14.0,0.0535,0.4755
OOK,16.0,0.1200,0.8420
OOK,18.0,0.2910,0.9920
OOK,20.0,0.6405,1.0000
OOK,22.0,0.9645,1.0000
OOK,24.0,0.9995,1.0000
BPSK,0.0,0.0145,0.0100
BPSK,2.0,0.0105,0.0105
BPSK,4.0,0.0120,0.0110
BPSK,6.0,0.0195,0.0110
BPSK,8.0,0.0105,0.0275
BPSK,10.0,0.0230,0.0520
BPSK,12.0,0.0295,0.1295
BPSK,14.0,0.0465,0.3745
BPSK,16.0,0.1005,0.7640
BPSK,18.0,0.2500,0.9805
BPSK,20.0,0.5530,1.0000
BPSK,22.0,0.9340,1.0000
BPSK,24.0,0.9995,1.0000
DSSS-BPSK,0.0,0.0140,0.0115
DSSS-BPSK,2.0,0.0105,0.0100
DSSS-BPSK,4.0,0.0120,0.0085
DSSS-BPSK,6.0,0.0180,0.0080
DSSS-BPSK,8.0,0.0105,0.0150
DSSS-BPSK,10.0,0.0200,0.0135
DSSS-BPSK,12.0,0.0215,0.0135
DSSS-BPSK,14.0,0.0340,0.0135
DSSS-BPSK,16.0,0.0725,0.0145
DSSS-BPSK,18.0,0.1770,0.0210
DSSS-BPSK,20.0,0.4120,0.0340
DSSS-BPSK,22.0,0.8320,0.0760
DSSS-BPSK,24.0,0.9935,0.1720
