arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,realization,ber,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels
conv1d,fh_off,omniscient,barrage,cw,-10.0,0,0.0036,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-6.0,0,0.0372,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-2.0,0,0.28005,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,2.0,0,0.4992,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,6.0,0,0.50315,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,10.0,0,0.50315,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-10.0,0,0.0009,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-6.0,0,0.00475,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-2.0,0,0.03855,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,2.0,0,0.2505,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,6.0,0,0.47505,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,10.0,0,0.50065,1.0,0.0001,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-10.0,1,0.00045,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-6.0,1,0.0111,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-2.0,1,0.1462,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,2.0,1,0.4686,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,6.0,1,0.4996,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,10.0,1,0.4996,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-10.0,1,0.0025,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-6.0,1,0.02615,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-2.0,1,0.2161,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,2.0,1,0.4734,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,6.0,1,0.5001,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,10.0,1,0.5004,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-10.0,2,0.00025,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-6.0,2,0.0003,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-2.0,2,0.00195,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,2.0,2,0.0162,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,6.0,2,0.1091,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,10.0,2,0.3664,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-10.0,2,0.00805,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-6.0,2,0.07605,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-2.0,2,0.33915,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,2.0,2,0.49335,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,6.0,2,0.4973,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,10.0,2,0.4973,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-10.0,3,0.00735,1.0,0.00015,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-6.0,3,0.10755,1.0,0.00015,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-2.0,3,0.43705,1.0,0.00015,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,2.0,3,0.49965,1.0,0.00015,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,6.0,3,0.4997,1.0,0.00015,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,10.0,3,0.4997,1.0,0.00015,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-10.0,3,0.00135,1.0,0.00015,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-6.0,3,0.02365,1.0,0.00015,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-2.0,3,0.21355,1.0,0.00015,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,2.0,3,0.4732,1.0,0.00015,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,6.0,3,0.49955,1.0,0.00015,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,10.0,3,0.4997,1.0,0.00015,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-10.0,4,0.00975,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-6.0,4,0.0922,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,-2.0,4,0.40685,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,2.0,4,0.49585,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,6.0,4,0.49585,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,10.0,4,0.49585,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-10.0,4,0.00095,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-6.0,4,0.00495,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-2.0,4,0.0415,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,2.0,4,0.22725,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,6.0,4,0.45135,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,10.0,4,0.4939,1.0,0.0002,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-10.0,0,0.00345,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-6.0,0,0.0318,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-2.0,0,0.27725,1.0,0.0006,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,2.0,0,0.5,1.0,0.0006,100000.0,1,10.0,8
