arch,jammer_model,in_channel,dwell_bursts,slot_duration_us,hop_rate_hz,jsr_db,ber,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_min,ber_max,ber_q05,ber_q95,jammed_fraction,n_realizations
conv1d,follower,cw,1,10.0,100000.0,6.0,0.00011999999999999999,7.58287544405155e-05,3.3911649915626336e-05,5.353438750904161e-05,0.00018646561249095837,0.0,0.0002,2e-05,0.00019,0.0,5
conv1d,follower,cw,2,20.0,50000.0,6.0,0.00020999999999999998,8.215838362577491e-05,3.6742346141747665e-05,0.00013798632485467036,0.00028201367514532963,0.0001,0.0003,0.00011,0.00028999999999999995,0.0,5
conv1d,follower,cw,4,40.0,25000.0,6.0,0.20865999999999998,0.09057578594745949,0.04050672289879792,0.12926828198661217,0.2880517180133878,0.0467,0.2517,0.08632000000000001,0.25139999999999996,0.5,5
conv1d,follower,cw,8,80.0,12500.0,6.0,0.31703000000000003,0.1294793641859582,0.057904932000650854,0.20353841875148354,0.4305215812485165,0.08545,0.37675,0.14252,0.37662999999999996,0.75,5
conv1d,follower,cw,16,160.0,6250.0,6.0,0.37174999999999997,0.14796848059637566,0.06617351622817091,0.2420522914624082,0.5014477085375917,0.1071,0.44055,0.17236,0.44025,0.875,5
conv1d,sweep,cw,1,10.0,100000.0,6.0,0.052860000000000004,0.021881767524585396,0.009785823930564048,0.03368013753704428,0.07203986246295573,0.0139,0.06475,0.02311,0.06472,0.12492,5
conv1d,sweep,cw,2,20.0,50000.0,6.0,0.053739999999999996,0.022708076756960287,0.010155360653369234,0.03383585886938115,0.07364414113061885,0.0132,0.06545,0.02297,0.06538,0.1256,5
conv1d,sweep,cw,4,40.0,25000.0,6.0,0.05406999999999999,0.022979137277104204,0.010276582603180885,0.03392826821361459,0.0742117317863854,0.01305,0.06565,0.02284,0.06564,0.12732,5
conv1d,sweep,cw,8,80.0,12500.0,6.0,0.05408999999999999,0.022821546836268573,0.010206106015518359,0.034086399787186424,0.07409360021281355,0.01345,0.06655,0.02311,0.06649,0.12552000000000002,5
conv1d,sweep,cw,16,160.0,6250.0,6.0,0.05471,0.023523536086226492,0.010520045151994359,0.03409109038635587,0.07532890961364413,0.01375,0.07135,0.02268,0.07089,0.1288,5
