arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,ber,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_min,ber_max,ber_q05,ber_q50,ber_q95,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels,n_realizations
conv1d,fh_off,omniscient,barrage,cw,-10.0,0.004280000000000001,0.004204699751468587,0.0018803988938520463,0.0005944858914810349,0.007965514108518966,0.00025,0.00975,0.00029,0.0036,0.009269999999999999,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,barrage,cw,-6.0,0.049670000000000006,0.048060997700838465,0.02149353158510718,0.007543452192615839,0.09179654780738417,0.0003,0.10755,0.00246,0.0372,0.10448,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,barrage,cw,-2.0,0.25442,0.1821388124480886,0.08145495319500219,0.09477122537539989,0.41406877462460007,0.00195,0.43705,0.0308,0.28005,0.43101,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,barrage,cw,2.0,0.3959,0.2126513196526182,0.09510056124965824,0.2095063250411244,0.5822936749588755,0.0162,0.49965,0.10668,0.49585,0.49956,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,barrage,cw,6.0,0.42148,0.1746448202781863,0.07810353801205167,0.2683998784312237,0.5745601215687763,0.1091,0.50315,0.18645,0.4996,0.50246,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,barrage,cw,10.0,0.47294,0.059613624701069796,0.026660023443350528,0.4206873142240395,0.5251926857759606,0.3664,0.50315,0.39229,0.4996,0.50246,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,barrage,cw,-10.0,0.004280000000000001,0.004204699751468587,0.0018803988938520463,0.0005944858914810349,0.007965514108518966,0.00025,0.00975,0.00029,0.0036,0.009269999999999999,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,barrage,cw,-6.0,0.049670000000000006,0.048060997700838465,0.02149353158510718,0.007543452192615839,0.09179654780738417,0.0003,0.10755,0.00246,0.0372,0.10448,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,barrage,cw,-2.0,0.25442,0.1821388124480886,0.08145495319500219,0.09477122537539989,0.41406877462460007,0.00195,0.43705,0.0308,0.28005,0.43101,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,barrage,cw,2.0,0.3959,0.2126513196526182,0.09510056124965824,0.2095063250411244,0.5822936749588755,0.0162,0.49965,0.10668,0.49585,0.49956,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,barrage,cw,6.0,0.42148,0.1746448202781863,0.07810353801205167,0.2683998784312237,0.5745601215687763,0.1091,0.50315,0.18645,0.4996,0.50246,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,barrage,cw,10.0,0.47294,0.059613624701069796,0.026660023443350528,0.4206873142240395,0.5251926857759606,0.3664,0.50315,0.39229,0.4996,0.50246,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_on,model,barrage,cw,-10.0,0.0042699999999999995,0.004002280599858036,0.0017898742972622408,0.0007619108405120694,0.00777808915948793,0.00035,0.0093,0.00049,0.003,0.008969999999999999,1.0,0.00019,100000.0,1,10.0,8,5
conv1d,fh_on,model,barrage,cw,-6.0,0.050449999999999995,0.048285155586370435,0.0215937780390556,0.008126972753299079,0.09277302724670092,0.00045,0.1113,0.00344,0.03425,0.10721,1.0,0.00019,100000.0,1,10.0,8,5
conv1d,fh_on,model,barrage,cw,-2.0,0.25561,0.18210319670450598,0.08143902535025821,0.0959924433774495,0.4152275566225505,0.00125,0.43755,0.03076,0.2845,0.43123,1.0,0.00019,100000.0,1,10.0,8,5
conv1d,fh_on,model,barrage,cw,2.0,0.39533999999999997,0.21335748580727135,0.09541636835470106,0.2083273544891786,0.5823526455108213,0.0144,0.4997,0.10511,0.4957,0.49955,1.0,0.00019,100000.0,1,10.0,8,5
conv1d,fh_on,model,barrage,cw,6.0,0.42041000000000006,0.17703715499860476,0.07917342262400938,0.265232943124173,0.5755870568758271,0.10375,0.50315,0.18217,0.4996,0.50246,1.0,0.00019,100000.0,1,10.0,8,5
conv1d,fh_on,model,barrage,cw,10.0,0.47428,0.05662025476805981,0.025321347712947664,0.4246510704426069,0.5239089295573931,0.3731,0.50315,0.39765,0.4996,0.50246,1.0,0.00019,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,barrage,partial_band,-10.0,0.00275,0.0030321197205915207,0.0013560051622320617,9.22787191747665e-05,0.005407721280825234,0.0009,0.00805,0.00091,0.00135,0.006939999999999999,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,barrage,partial_band,-6.0,0.027110000000000002,0.029150694674398417,0.01303658697665919,0.0015587590444240823,0.05266124095557592,0.00475,0.07605,0.00479,0.02365,0.06606999999999999,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,barrage,partial_band,-2.0,0.16977,0.12886487399598076,0.05763012363339159,0.056817033253961924,0.2827229667460381,0.03855,0.33915,0.03914,0.21355,0.31454,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,barrage,partial_band,2.0,0.38354,0.13256901693080475,0.05928666671351999,0.2673402684780712,0.4997397315219288,0.22725,0.49335,0.2319,0.4732,0.48936,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,barrage,partial_band,6.0,0.48467000000000005,0.02134117499108239,0.009544063599955738,0.4659639790779271,0.503376020922073,0.45135,0.5001,0.45609,0.4973,0.49999,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,barrage,partial_band,10.0,0.49839,0.002837780823108078,0.0012690941651429936,0.4959026211433298,0.5008773788566702,0.4939,0.50065,0.49458,0.4997,0.5006,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,barrage,partial_band,-10.0,0.00275,0.0030321197205915207,0.0013560051622320617,9.22787191747665e-05,0.005407721280825234,0.0009,0.00805,0.00091,0.00135,0.006939999999999999,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,barrage,partial_band,-6.0,0.027110000000000002,0.029150694674398417,0.01303658697665919,0.0015587590444240823,0.05266124095557592,0.00475,0.07605,0.00479,0.02365,0.06606999999999999,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,barrage,partial_band,-2.0,0.16977,0.12886487399598076,0.05763012363339159,0.056817033253961924,0.2827229667460381,0.03855,0.33915,0.03914,0.21355,0.31454,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,barrage,partial_band,2.0,0.38354,0.13256901693080475,0.05928666671351999,0.2673402684780712,0.4997397315219288,0.22725,0.49335,0.2319,0.4732,0.48936,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,barrage,partial_band,6.0,0.48467000000000005,0.02134117499108239,0.009544063599955738,0.4659639790779271,0.503376020922073,0.45135,0.5001,0.45609,0.4973,0.49999,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,barrage,partial_band,10.0,0.49839,0.002837780823108078,0.0012690941651429936,0.4959026211433298,0.5008773788566702,0.4939,0.50065,0.49458,0.4997,0.5006,1.0,0.00016999999999999999,100000.0,1,10.0,8,5
conv1d,fh_on,model,barrage,partial_band,-10.0,0.00258,0.0027282320282556614,0.0012201024547143571,0.00018864313131094828,0.004971356868689051,0.0005,0.0073,0.00059,0.00205,0.006259999999999999,1.0,0.00019,100000.0,1,10.0,8,5
conv1d,fh_on,model,barrage,partial_band,-6.0,0.02633,0.028017106381637628,0.01252963088043698,0.0017723747347626363,0.050887625265237366,0.00325,0.07195,0.00328,0.0263,0.06291,1.0,0.00019,100000.0,1,10.0,8,5
conv1d,fh_on,model,barrage,partial_band,-2.0,0.16960000000000003,0.13202146132352877,0.059041792401653935,0.05388021331006772,0.28531978668993235,0.03695,0.3446,0.03705,0.2135,0.31878,1.0,0.00019,100000.0,1,10.0,8,5
conv1d,fh_on,model,barrage,partial_band,2.0,0.38416,0.1300491320616943,0.05815973994095916,0.2701690043655044,0.4981509956344956,0.23065,0.4922,0.2353,0.47045,0.48848,1.0,0.00019,100000.0,1,10.0,8,5
conv1d,fh_on,model,barrage,partial_band,6.0,0.48453,0.02105144294341838,0.009414491489188352,0.466077935748432,0.502982064251568,0.45295,0.5002,0.45689,0.4973,0.50007,1.0,0.00019,100000.0,1,10.0,8,5
conv1d,fh_on,model,barrage,partial_band,10.0,0.4983000000000001,0.0030172421182265066,0.001349351696185985,0.4956553192729975,0.5009446807270026,0.49345,0.50065,0.49422,0.4997,0.5006,1.0,0.00019,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,fixed_partial,cw,-10.0,0.0057799999999999995,0.0061396864740799265,0.002745751263315743,0.00039842641339579016,0.011161573586604209,0.0002,0.0156,0.0005600000000000001,0.00345,0.014009999999999998,1.0,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,fixed_partial,cw,-6.0,0.051480000000000005,0.049728470215762724,0.022239247963903815,0.007891874947492813,0.0950681250525072,0.0002,0.11265,0.0035800000000000007,0.0318,0.10925,1.0,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,fixed_partial,cw,-2.0,0.25301999999999997,0.18092045075115196,0.08091008527989572,0.09443914686534,0.41160085313465994,0.00075,0.43095,0.030220000000000004,0.27725,0.42637,1.0,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,fixed_partial,cw,2.0,0.39559,0.21383667950096866,0.09563067028940034,0.20815733041535078,0.5830226695846492,0.0137,0.5,0.10495,0.4956,0.49974,1.0,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,fixed_partial,cw,6.0,0.42135999999999996,0.17688275919376656,0.07910437472099759,0.26631827452728407,0.5764017254727158,0.105,0.50375,0.18315,0.49875,0.50371,1.0,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,fixed_partial,cw,10.0,0.47218,0.06330351096108339,0.028310190744677097,0.41669304574497373,0.5276669542550263,0.3591,0.50375,0.38643,0.49875,0.50371,1.0,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,fixed_partial,cw,-10.0,0.00479,0.0068471161812839135,0.0030621234462379207,0.0,0.010791651670841996,0.0,0.0156,2e-05,0.0006,0.014009999999999998,0.4,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,fixed_partial,cw,-6.0,0.041800000000000004,0.05723441927721465,0.025596010431315267,0.0,0.09196725859328944,0.0,0.11265,2e-05,0.0006,0.10925,0.4,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,fixed_partial,cw,-2.0,0.16794,0.22978460403168877,0.10276279895954565,0.0,0.3693513849112396,0.0,0.43095,2e-05,0.0006,0.42637,0.4,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,fixed_partial,cw,2.0,0.19899999999999998,0.272174769220073,0.12172025714728012,0.0,0.43756732019762307,0.0,0.4987,2e-05,0.0006,0.49807999999999997,0.4,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,fixed_partial,cw,6.0,0.19904000000000002,0.2722294009654358,0.12174468920655226,0.0,0.43765520615386466,0.0,0.49875,2e-05,0.0006,0.49815000000000004,0.4,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,fixed_partial,cw,10.0,0.19904000000000002,0.2722294009654358,0.12174468920655226,0.0,0.43765520615386466,0.0,0.49875,2e-05,0.0006,0.49815000000000004,0.4,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_on,model,fixed_partial,cw,-10.0,0.00131,0.0013249528293490303,0.000592536918681022,0.00014864897987485848,0.0024713510201251412,0.0002,0.0032,0.00023,0.0006,0.003,0.25,0.0002,100000.0,1,10.0,8,5
conv1d,fh_on,model,fixed_partial,cw,-6.0,0.012390000000000002,0.011690295120312406,0.005228058913210524,0.00214319282105376,0.02263680717894624,0.0004,0.0252,0.00102,0.00845,0.02504,0.25,0.0002,100000.0,1,10.0,8,5
conv1d,fh_on,model,fixed_partial,cw,-2.0,0.06392,0.045474245458281104,0.020336700814045525,0.02406079884010439,0.10377920115989561,0.0007,0.1099,0.008,0.0704,0.10819999999999999,0.25,0.0002,100000.0,1,10.0,8,5
conv1d,fh_on,model,fixed_partial,cw,2.0,0.09963,0.05350428253887721,0.023927842568856893,0.05273229033729613,0.14652770966270387,0.00405,0.1256,0.02699,0.1243,0.12557,0.25,0.0002,100000.0,1,10.0,8,5
conv1d,fh_on,model,fixed_partial,cw,6.0,0.10598,0.0439563789454955,0.01965789027337369,0.06745124305214734,0.14450875694785267,0.02735,0.1261,0.04696,0.12545,0.126,0.25,0.0002,100000.0,1,10.0,8,5
conv1d,fh_on,model,fixed_partial,cw,10.0,0.11888000000000001,0.015112767780919549,0.006758635217260952,0.10563331838952451,0.13212668161047553,0.09185,0.1261,0.09856000000000001,0.12545,0.126,0.25,0.0002,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,fixed_partial,partial_band,-10.0,0.0031,0.0022712881807467763,0.0010157509537283241,0.0011091647134302742,0.005090835286569726,0.00085,0.0056,0.0009199999999999999,0.00245,0.00556,1.0,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,fixed_partial,partial_band,-6.0,0.02843,0.028251318553299425,0.012634373747835706,0.0036670824870236804,0.05319291751297632,0.00365,0.07315,0.00383,0.02985,0.06470999999999999,1.0,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,fixed_partial,partial_band,-2.0,0.17213,0.13410477992972508,0.05997348080610295,0.05458413759253404,0.28967586240746596,0.0348,0.3505,0.036039999999999996,0.2152,0.32422999999999996,1.0,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,fixed_partial,partial_band,2.0,0.38186,0.1329592202519254,0.05946117094373437,0.2653182464717011,0.49840175352829885,0.22755,0.50065,0.2314,0.4671,0.49396,1.0,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,fixed_partial,partial_band,6.0,0.48422,0.022049336724718056,0.009860763155050427,0.4648932593560216,0.5035467406439784,0.45035,0.5049,0.45511999999999997,0.4956,0.50313,1.0,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off,omniscient,fixed_partial,partial_band,10.0,0.49778,0.005233856130999396,0.0023406516186737386,0.4931924071270441,0.502367592872956,0.4912,0.5049,0.49211000000000005,0.49625,0.50408,1.0,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,fixed_partial,partial_band,-10.0,0.0013900000000000002,0.002268920448142684,0.0010146920715172656,0.0,0.0033787599155721813,0.0,0.0054,2e-05,0.0006,0.004489999999999999,0.4,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,fixed_partial,partial_band,-6.0,0.007239999999999999,0.01338737278184185,0.005987015116065767,0.0,0.018974334002385792,0.0,0.03095,2e-05,0.0006,0.025669999999999995,0.4,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,fixed_partial,partial_band,-2.0,0.05138,0.09326425896344215,0.04170904458268014,0.0,0.1331282252116285,0.0,0.2152,2e-05,0.0006,0.18035999999999996,0.4,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,fixed_partial,partial_band,2.0,0.13907,0.20812223451616121,0.0930750928014579,0.0,0.32149382974858065,0.0,0.4671,2e-05,0.0006,0.41918999999999995,0.4,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,fixed_partial,partial_band,6.0,0.18933,0.25942513756380664,0.11601844853298116,0.0,0.41672198066685684,0.0,0.4956,2e-05,0.0006,0.48655,0.4,0.00030000000000000003,100000.0,1,10.0,8,5
conv1d,fh_off_blind,band_agnostic,fixed_partial,partial_band,10.0,0.19753,0.2701644721276283,0.1208212249565448,0.0,0.43433524948283975,0.0,0.49575,2e-05,0.0006,0.49484,0.4,0.00030000000000000003,100000.0,1,10.0,8,5
