arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,realization,ber,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels
lstm,fh_off,omniscient,barrage,cw,-10.0,0,0.00355,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,-6.0,0,0.02375,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,-2.0,0,0.17965,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,2.0,0,0.4512,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,6.0,0,0.50305,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,10.0,0,0.50315,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,-10.0,0,0.0011,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,-6.0,0,0.00475,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,-2.0,0,0.03585,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,2.0,0,0.20805,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,6.0,0,0.4615,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,10.0,0,0.50225,1.0,0.00015,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,-10.0,1,0.0006,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,-6.0,1,0.007,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,-2.0,1,0.08375,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,2.0,1,0.38945,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,6.0,1,0.49855,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,10.0,1,0.4996,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,-10.0,1,0.00125,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,-6.0,1,0.01045,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,-2.0,1,0.09475,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,2.0,1,0.35595,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,6.0,1,0.4921,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,10.0,1,0.5003,1.0,0.00025,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,-10.0,2,0.00015,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,-6.0,2,0.00035,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,-2.0,2,0.0044,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,2.0,2,0.03735,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,6.0,2,0.2019,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,cw,10.0,2,0.45915,1.0,0.0002,100000.0,1,10.0,8
lstm,fh_off,omniscient,barrage,partial_band,-10.0,2,0.006,1.0,0.0002,100000.0,1,10.0,8
