arch,jammer_model,in_channel,dwell_bursts,slot_duration_us,hop_rate_hz,jsr_db,ber,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_min,ber_max,ber_q05,ber_q95,jammed_fraction,n_realizations
lstm,follower,cw,1,10.0,100000.0,6.0,0.00014,6.519202405202649e-05,2.9154759474226502e-05,8.285772145258814e-05,0.00019714227854741184,5e-05,0.0002,6e-05,0.0002,0.0,5
lstm,follower,cw,2,20.0,50000.0,6.0,0.00026000000000000003,0.00010839741694339401,4.8476798574163293e-05,0.00016498722070883734,0.0003550127792911627,0.00015,0.0004,0.00015999999999999999,0.00039,0.0,5
lstm,follower,cw,4,40.0,25000.0,6.0,0.21913999999999997,0.06692831426235087,0.029931252062017046,0.16047582394625634,0.2778041760537436,0.0995,0.2514,0.12856,0.25115,0.5,5
lstm,follower,cw,8,80.0,12500.0,6.0,0.3300199999999999,0.09976277236524654,0.04461526812650575,0.24257568131145085,0.417464318688549,0.1516,0.37615,0.19547,0.37612,0.75,5
lstm,follower,cw,16,160.0,6250.0,6.0,0.38876,0.10985732451684775,0.04912968908918516,0.2924675788135467,0.4850524211864533,0.1923,0.44055,0.24052,0.44023,0.875,5
lstm,sweep,cw,1,10.0,100000.0,6.0,0.05503,0.01722732567753916,0.007704294257101035,0.039929860729783204,0.0701301392702168,0.02445,0.06485,0.03157,0.06482,0.12492,5
lstm,sweep,cw,2,20.0,50000.0,6.0,0.05578999999999999,0.018072368411472802,0.008082208856494615,0.039949161725739896,0.07163083827426009,0.02355,0.0652,0.03126,0.06518,0.1256,5
lstm,sweep,cw,4,40.0,25000.0,6.0,0.05652,0.01777524964662944,0.007949333305378508,0.04093959302035338,0.07210040697964662,0.02485,0.06595,0.03228,0.06591,0.12732,5
lstm,sweep,cw,8,80.0,12500.0,6.0,0.05669999999999999,0.017246702583392573,0.007712959872837406,0.04158287643503605,0.07181712356496393,0.0261,0.06685,0.03325,0.06672,0.12552000000000002,5
lstm,sweep,cw,16,160.0,6250.0,6.0,0.05684,0.018905468785512827,0.008454782670181413,0.04026893046933104,0.07341106953066896,0.0244,0.07125,0.031200000000000002,0.07081,0.1288,5
