arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,ber,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_min,ber_max,ber_q05,ber_q50,ber_q95,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels,n_realizations
lstm,fh_off,omniscient,barrage,cw,-10.0,0.00246,0.0019187886803918768,0.0008581083847626708,0.0007781384710333263,0.004141861528966674,0.00015,0.004,0.00023999999999999998,0.00355,0.004,1.0,0.00020999999999999998,100000.0,1,10.0,8,5
lstm,fh_off,omniscient,barrage,cw,-6.0,0.021359999999999997,0.018784481627130412,0.008400675568071891,0.0048949784407735335,0.03782502155922646,0.00035,0.0482,0.0016800000000000003,0.02375,0.044059999999999995,1.0,0.00020999999999999998,100000.0,1,10.0,8,5
lstm,fh_off,omniscient,barrage,cw,-2.0,0.14874,0.11273989644309597,0.05041881444460986,0.049920939545356854,0.24755906045464315,0.0044,0.3047,0.020270000000000003,0.1712,0.27969,1.0,0.00020999999999999998,100000.0,1,10.0,8,5
lstm,fh_off,omniscient,barrage,cw,2.0,0.36722,0.1882696921971245,0.08419676597114642,0.20219737108180544,0.5322426289181945,0.03735,0.49335,0.10777,0.4512,0.48763,1.0,0.00020999999999999998,100000.0,1,10.0,8,5
lstm,fh_off,omniscient,barrage,cw,6.0,0.43981000000000003,0.13302081322108958,0.05948871615693181,0.3232142588458877,0.5564057411541123,0.2019,0.50305,0.26069,0.49855,0.5023799999999999,1.0,0.00020999999999999998,100000.0,1,10.0,8,5
lstm,fh_off,omniscient,barrage,cw,10.0,0.49149000000000004,0.01826209872933557,0.008167058834121372,0.47548285882550245,0.5074971411744976,0.45915,0.50315,0.46649,0.4996,0.50246,1.0,0.00020999999999999998,100000.0,1,10.0,8,5
lstm,fh_off_blind,band_agnostic,barrage,cw,-10.0,0.00246,0.0019187886803918768,0.0008581083847626708,0.0007781384710333263,0.004141861528966674,0.00015,0.004,0.00023999999999999998,0.00355,0.004,1.0,0.00020999999999999998,100000.0,1,10.0,8,5
lstm,fh_off_blind,band_agnostic,barrage,cw,-6.0,0.021359999999999997,0.018784481627130412,0.008400675568071891,0.0048949784407735335,0.03782502155922646,0.00035,0.0482,0.0016800000000000003,0.02375,0.044059999999999995,1.0,0.00020999999999999998,100000.0,1,10.0,8,5
lstm,fh_off_blind,band_agnostic,barrage,cw,-2.0,0.14874,0.11273989644309597,0.05041881444460986,0.049920939545356854,0.24755906045464315,0.0044,0.3047,0.020270000000000003,0.1712,0.27969,1.0,0.00020999999999999998,100000.0,1,10.0,8,5
lstm,fh_off_blind,band_agnostic,barrage,cw,2.0,0.36722,0.1882696921971245,0.08419676597114642,0.20219737108180544,0.5322426289181945,0.03735,0.49335,0.10777,0.4512,0.48763,1.0,0.00020999999999999998,100000.0,1,10.0,8,5
