arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,ber,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_min,ber_max,ber_q05,ber_q50,ber_q95,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels,n_realizations
mc_dlsk,fh_off,omniscient,barrage,cw,-10.0,0.00489,0.004419049671592299,0.0019762590923257,0.0010166033549218112,0.008763396645078188,0.0006,0.01115,0.00062,0.0055,0.01022,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off,omniscient,barrage,cw,-6.0,0.042730000000000004,0.03952746829737518,0.017677221218279755,0.008083283065424433,0.07737671693457557,0.00095,0.10115,0.0031400000000000004,0.04535,0.09178,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off,omniscient,barrage,cw,-2.0,0.2189,0.15282748852873296,0.06834653063616324,0.08494326148485667,0.3528567385151433,0.00585,0.3977,0.030420000000000006,0.2715,0.37631,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off,omniscient,barrage,cw,2.0,0.39143000000000006,0.19721240009188062,0.08819606652226616,0.21856888603825964,0.5642911139617405,0.04125,0.4989,0.12095,0.4795,0.49867,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off,omniscient,barrage,cw,6.0,0.45587999999999995,0.09771116619916066,0.0436977619564206,0.37023396036041106,0.5415260396395888,0.28115,0.50315,0.32409,0.49955,0.50246,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off,omniscient,barrage,cw,10.0,0.49939,0.0026151959773600053,0.0011695511959721944,0.49709772177781875,0.5016822782221813,0.49585,0.50315,0.49641,0.4996,0.50246,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off_blind,band_agnostic,barrage,cw,-10.0,0.00489,0.004419049671592299,0.0019762590923257,0.0010166033549218112,0.008763396645078188,0.0006,0.01115,0.00062,0.0055,0.01022,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off_blind,band_agnostic,barrage,cw,-6.0,0.042730000000000004,0.03952746829737518,0.017677221218279755,0.008083283065424433,0.07737671693457557,0.00095,0.10115,0.0031400000000000004,0.04535,0.09178,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off_blind,band_agnostic,barrage,cw,-2.0,0.2189,0.15282748852873296,0.06834653063616324,0.08494326148485667,0.3528567385151433,0.00585,0.3977,0.030420000000000006,0.2715,0.37631,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off_blind,band_agnostic,barrage,cw,2.0,0.39143000000000006,0.19721240009188062,0.08819606652226616,0.21856888603825964,0.5642911139617405,0.04125,0.4989,0.12095,0.4795,0.49867,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off_blind,band_agnostic,barrage,cw,6.0,0.45587999999999995,0.09771116619916066,0.0436977619564206,0.37023396036041106,0.5415260396395888,0.28115,0.50315,0.32409,0.49955,0.50246,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
mc_dlsk,fh_off_blind,band_agnostic,barrage,cw,10.0,0.49939,0.0026151959773600053,0.0011695511959721944,0.49709772177781875,0.5016822782221813,0.49585,0.50315,0.49641,0.4996,0.50246,1.0,0.0006000000000000001,100000.0,1,10.0,8,5
