jammer_model,in_channel,jsr_db,fh_off,fh_on,gain_db
barrage,cw,-10.0,0.00324,0.00324,0.0
barrage,cw,-6.0,0.04511,0.04511,0.0
barrage,cw,-2.0,0.26761,0.26761,0.0
barrage,cw,2.0,0.39578,0.39578,0.0
barrage,cw,6.0,0.40268,0.40268,0.0
barrage,cw,10.0,0.43728,0.43728,0.0
fixed_partial,cw,-10.0,0.0031399999999999,0.00086,5.624311968296334
fixed_partial,cw,-6.0,0.0444699999999999,0.01129,5.953731875239657
fixed_partial,cw,-2.0,0.26842,0.06751,5.994467640373324
fixed_partial,cw,2.0,0.3967299999999999,0.09961,6.001921021750453
fixed_partial,cw,6.0,0.4032300000000001,0.1010899999999999,6.008446392685732
fixed_partial,cw,10.0,0.4387,0.1097699999999999,6.016839701986756
follower,cw,-10.0,0.00317,8.999999999999999e-05,15.468167527784267
follower,cw,-6.0,0.0449699999999999,8.999999999999999e-05,26.98680378128616
follower,cw,-2.0,0.26796,8.999999999999999e-05,34.73827459679738
follower,cw,2.0,0.3968,8.999999999999999e-05,36.44329154042816
follower,cw,6.0,0.4043899999999999,8.999999999999999e-05,36.52557898116345
follower,cw,10.0,0.43992,8.999999999999999e-05,36.89131197234498
sweep,cw,-10.0,0.0034,0.00052,8.15475573407456
sweep,cw,-6.0,0.04556,0.00582,8.936607307571743
sweep,cw,-2.0,0.26788,0.03303,9.090317165727278
sweep,cw,2.0,0.3978,0.04903,9.092028855422384
sweep,cw,6.0,0.40503,0.04971,9.110434288458706
sweep,cw,10.0,0.43964,0.05381,9.122342071484969
