arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,realization,ber,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels
qkv,fh_off,omniscient,barrage,cw,-10.0,0,0.0055,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,-6.0,0,0.0609,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,-2.0,0,0.3474,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,2.0,0,0.50175,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,6.0,0,0.50315,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,10.0,0,0.50315,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,-10.0,0,0.00155,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,-6.0,0,0.00655,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,-2.0,0,0.0567,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,2.0,0,0.2911,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,6.0,0,0.4826,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,10.0,0,0.5022,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,-10.0,1,0.0004,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,-6.0,1,0.01775,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,-2.0,1,0.1885,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,2.0,1,0.48125,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,6.0,1,0.4996,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,10.0,1,0.4996,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,-10.0,1,0.0013,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,-6.0,1,0.0198,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,-2.0,1,0.2009,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,2.0,1,0.4729,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,6.0,1,0.50015,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,10.0,1,0.5004,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,-10.0,2,0.0001,1.0,5e-05,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,-6.0,2,0.0002,1.0,5e-05,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,-2.0,2,0.0005,1.0,5e-05,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,2.0,2,0.0009,1.0,5e-05,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,6.0,2,0.0189,1.0,5e-05,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,10.0,2,0.1939,1.0,5e-05,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,-10.0,2,0.0061,1.0,5e-05,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,-6.0,2,0.0671,1.0,5e-05,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,-2.0,2,0.3411,1.0,5e-05,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,2.0,2,0.4943,1.0,5e-05,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,6.0,2,0.4973,1.0,5e-05,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,partial_band,10.0,2,0.4973,1.0,5e-05,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,-10.0,3,0.00315,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,-6.0,3,0.0672,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,-2.0,3,0.398,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,2.0,3,0.4995,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,6.0,3,0.4997,1.0,0.0001,100000.0,1,10.0,8
qkv,fh_off,omniscient,barrage,cw,10.0,3,0.4997,1.0,0.0001,100000.0,1,10.0,8
