arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,ber,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_min,ber_max,ber_q05,ber_q50,ber_q95,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels,n_realizations
qkv,fh_off,omniscient,barrage,cw,-10.0,0.00313,0.002898620361482338,0.0012963024338479043,0.0005892939165864923,0.005670706083413508,0.0001,0.0065,0.00016,0.00315,0.006299999999999999,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off,omniscient,barrage,cw,-6.0,0.045000000000000005,0.034087589383821205,0.015244433410264876,0.015121459551161738,0.07487854044883827,0.0002,0.07895,0.00371,0.0609,0.0766,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off,omniscient,barrage,cw,-2.0,0.2682,0.17341469084250044,0.07755340740418824,0.11619811460942908,0.4202018853905709,0.0005,0.4066,0.0381,0.3474,0.40488,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off,omniscient,barrage,cw,2.0,0.39581,0.22090542489943518,0.09879190933472234,0.20218141573999787,0.5894385842600021,0.0009,0.50175,0.09697,0.49565,0.5013,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off,omniscient,barrage,cw,6.0,0.40343999999999997,0.21497990429340136,0.09614193595928887,0.2150052681158375,0.5918747318841624,0.0189,0.50315,0.11429,0.4996,0.50246,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off,omniscient,barrage,cw,10.0,0.43844000000000005,0.13672640290009827,0.06114590624072882,0.31859622596610865,0.5582837740338915,0.1939,0.50315,0.25429,0.4996,0.50246,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,barrage,cw,-10.0,0.00313,0.002898620361482338,0.0012963024338479043,0.0005892939165864923,0.005670706083413508,0.0001,0.0065,0.00016,0.00315,0.006299999999999999,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,barrage,cw,-6.0,0.045000000000000005,0.034087589383821205,0.015244433410264876,0.015121459551161738,0.07487854044883827,0.0002,0.07895,0.00371,0.0609,0.0766,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,barrage,cw,-2.0,0.2682,0.17341469084250044,0.07755340740418824,0.11619811460942908,0.4202018853905709,0.0005,0.4066,0.0381,0.3474,0.40488,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,barrage,cw,2.0,0.39581,0.22090542489943518,0.09879190933472234,0.20218141573999787,0.5894385842600021,0.0009,0.50175,0.09697,0.49565,0.5013,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,barrage,cw,6.0,0.40343999999999997,0.21497990429340136,0.09614193595928887,0.2150052681158375,0.5918747318841624,0.0189,0.50315,0.11429,0.4996,0.50246,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_off_blind,band_agnostic,barrage,cw,10.0,0.43844000000000005,0.13672640290009827,0.06114590624072882,0.31859622596610865,0.5582837740338915,0.1939,0.50315,0.25429,0.4996,0.50246,1.0,8e-05,100000.0,1,10.0,8,5
qkv,fh_on,model,barrage,cw,-10.0,0.0031700000000000005,0.002322875373325052,0.0010388214476030036,0.0011339473763303512,0.00520605262366965,0.0001,0.0057,0.00037,0.00395,0.00549,1.0,6.000000000000001e-05,100000.0,1,10.0,8,5
qkv,fh_on,model,barrage,cw,-6.0,0.044989999999999995,0.03209868377363782,0.014354967781224729,0.016854780149566685,0.0731252198504333,0.0001,0.07575,0.004740000000000001,0.058,0.07416,1.0,6.000000000000001e-05,100000.0,1,10.0,8,5
qkv,fh_on,model,barrage,cw,-2.0,0.26842,0.17298649730542556,0.07736191343290315,0.11679343589640445,0.42004656410359553,0.00015,0.4059,0.038439999999999995,0.346,0.40441,1.0,6.000000000000001e-05,100000.0,1,10.0,8,5
qkv,fh_on,model,barrage,cw,2.0,0.39594,0.22114077925611098,0.0988971630027879,0.20210512234134867,0.5897748776586513,0.0006,0.50215,0.09684000000000001,0.49565,0.50162,1.0,6.000000000000001e-05,100000.0,1,10.0,8,5
