snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols
-5.0,0.1064453125,85.38983030641917,5.286896675218989e-10,109,1024
-3.0,0.04235197368421053,83.29406351635143,5.35842650627203e-10,103,2432
-1.0,0.012250612530626532,76.4328995384785,5.324283235283461e-10,35,2857
1.0,0.0035001750087504373,69.19954587474666,5.384370969681932e-10,10,2857
3.0,0.00035001750087504374,61.739518238651506,5.404868348853543e-10,1,2857
5.0,0.00035001750087504374,55.67291257076285,5.346838054378759e-10,1,2857
7.0,0.0,49.26209728727567,5.236524154825714e-10,0,2857
9.0,0.00035001750087504374,44.620368806090205,5.242873706007161e-10,1,2857
11.0,0.0,37.8948777724487,5.392392489834163e-10,0,2857
13.0,0.0,32.87163524518435,5.314665622885299e-10,0,2857
15.0,0.0,29.55102558419534,5.186293109110793e-10,0,2857
17.0,0.0,27.920335199322057,5.162442257557588e-10,0,2857
19.0,0.0,25.956572031753158,5.456968133178434e-10,0,2857
21.0,0.0003498950314905528,25.8853424656686,5.237241948554489e-10,1,2858
