snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.10791,90.75621812720077,5.386377158437799e-10,10791,100000,0.1884062959949032,0.0014867354648601156
-3.0,0.03755,86.24473740677266,5.347841103532032e-10,3755,100000,0.2557492773831715,-0.004435492960409752
-1.0,0.01051,80.61933720044624,5.324140878905195e-10,1051,100000,0.3422017363771009,0.006953472280285147
1.0,0.00318,74.03040456436707,5.344360008927609e-10,318,100000,0.4306594408793814,-0.0021031703573167605
3.0,0.00111,63.538641756496176,5.364511926728219e-10,222,200000,0.5520042291714976,0.0028902351026734298
5.0,0.00051,55.59398896299619,5.352524696651325e-10,102,200000,0.6296523350008709,-0.0014126964896868587
7.0,0.0003325,48.3775381201232,5.356802489477998e-10,133,400000,0.6910910482163062,0.00020492250045971546
9.0,0.000212,41.75428894488017,5.358862459740403e-10,106,500000,0.743640786209765,0.0002805787431097456
11.0,0.00014428571428571428,36.641904965199224,5.348744652326287e-10,101,700000,0.7800511372951401,0.0003125422218304847
13.0,0.00014875,32.929346087648746,5.343780190805838e-10,119,800000,0.8041821910569076,0.000527737948790506
15.0,0.00014714285714285713,28.947065748742734,5.344983810221562e-10,103,700000,0.8309461265151487,0.0012252374261332312
17.0,0.00013375,27.440647730415154,5.339325822318804e-10,107,800000,0.8380409195017227,0.0008849185758986713
19.0,0.00011333333333333333,25.1691331260526,5.342572392598588e-10,102,900000,0.852253658154108,0.0011890973801172034
21.0,0.000116,25.306083928905075,5.350100362280237e-10,116,1000000,0.8504639163050097,0.00025050264453202
