2026-09-25 14:36:40 | root                           | INFO   | Logging configured: file=/content/drive/MyDrive/sezione_5/full/jamming/logs/rerun_jamming_mc.log level=INFO
2026-09-25 14:36:40 | src.experiments.pipeline       | INFO   | Dataset already present in data/raw/7d5c684e
2026-09-25 14:36:42 | src.data.data_loader           | INFO   | split 'test': 560000 total samples, x shape=(560000, 100), tau in [1.00, 33.00], f_d in [1.520e-10, 8.000e-05]
2026-09-25 14:37:58 | __main__                       | INFO   | test set: 40000 samples (subsample cap 40000), JSR grid [-10.0, -8.0, -6.0, -4.0, -2.0, 0.0, 2.0, 4.0, 6.0, 8.0, 10.0], realizations 15, archs ['qkv']
2026-09-25 14:37:58 | __main__                       | INFO   | ============================================================
2026-09-25 14:37:58 | __main__                       | INFO   | re-evaluating jamming for qkv from /content/dual-head-ultra-can/results/full/jamming/qkv/best_model.keras
2026-09-25 14:38:01 | src.experiments.run_jamming    | INFO   | Running baseline evaluation...
2026-09-25 14:38:01 | src.evaluation.evaluator       | INFO   | Starting evaluation over 14 SNR points
2026-09-25 14:38:04 | src.evaluation.evaluator       | WARNING | SNR=-5.0 dB: 2/512 sensing elements outside [0,1] (min=-0.0406, max=1.0711) -> clamped
2026-09-25 14:38:05 | src.evaluation.evaluator       | WARNING | SNR=-3.0 dB: 4/1024 sensing elements outside [0,1] (min=-0.2854, max=1.0399) -> clamped
2026-09-25 14:38:07 | src.evaluation.evaluator       | WARNING | SNR=-1.0 dB: 7/1792 sensing elements outside [0,1] (min=-0.2133, max=0.9445) -> clamped
2026-09-25 14:38:09 | src.evaluation.evaluator       | WARNING | SNR=1.0 dB: 8/1874 sensing elements outside [0,1] (min=-0.6004, max=1.1221) -> clamped
2026-09-25 14:38:10 | src.evaluation.evaluator       | WARNING | SNR=3.0 dB: 12/2048 sensing elements outside [0,1] (min=-0.2813, max=1.0157) -> clamped
2026-09-25 14:38:12 | src.evaluation.evaluator       | WARNING | SNR=5.0 dB: 22/3666 sensing elements outside [0,1] (min=-0.1537, max=1.1065) -> clamped
2026-09-25 14:38:14 | src.evaluation.evaluator       | WARNING | SNR=7.0 dB: 25/3840 sensing elements outside [0,1] (min=-0.3993, max=1.1615) -> clamped
