snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols
-5.0,0.09027777777777778,90.23231357806571,5.759472382242464e-10,104,1152
-3.0,0.0265625,85.93233104257108,5.439983604615302e-10,102,3840
-1.0,0.006300403225806451,81.71056593693459,5.407233913255937e-10,100,15872
1.0,0.0025201612903225806,70.96813996296963,5.356006659634428e-10,100,39680
3.0,0.00075,62.92698007446042,5.384148792708628e-10,30,40000
5.0,0.000325,55.28203928137603,5.382523312830346e-10,13,40000
7.0,0.000475,48.207052901243564,5.29922847921711e-10,19,40000
9.0,0.00035,41.361445440954526,5.285170379585375e-10,14,40000
11.0,0.00015,36.19100136948745,5.34898150962502e-10,6,40000
13.0,0.0002,32.0161774429933,5.352527099109597e-10,8,40000
15.0,0.000125,29.530009538435117,5.304314435894689e-10,5,40000
17.0,0.0002,28.152892525515828,5.337892828808001e-10,8,40000
19.0,0.00015,26.947762668676283,5.335827068955173e-10,6,40000
21.0,0.00025,25.870446843594824,5.347622598014453e-10,10,40000
