jsr_db,realization,ber,mse_tau,mse_fd
-10.0,0,0.013804286678912855,59.404675284746816,5.372395482701884e-10
-8.0,0,0.019531141125604477,63.10700564931567,5.372794744475232e-10
-6.0,0,0.031021340439160744,67.76482256718451,5.37413408512646e-10
-4.0,0,0.057812078500554455,73.022090021485,5.370597240562064e-10
-2.0,0,0.10995526650492284,78.58842717123427,5.401537639654985e-10
0.0,0,0.20359933035714287,86.0164385671583,5.40045277913327e-10
2.0,0,0.32626488095238093,90.90263118271788,5.409625176129079e-10
4.0,0,0.44224330357142855,94.31481724966537,5.445644006986491e-10
6.0,0,0.4896763392857143,97.64355827521406,5.570922910584167e-10
8.0,0,0.5002790178571429,101.29201133136918,5.884079275001356e-10
10.0,0,0.501953125,106.00962707458324,6.519280842316568e-10
-10.0,1,0.015449881367347934,63.19594205671975,5.37162757153912e-10
-8.0,1,0.025477883939645517,67.44607007479382,5.372352122456074e-10
-6.0,1,0.05158054457012905,72.39669715428244,5.37235517166142e-10
-4.0,1,0.11925422512755102,77.53628232719184,5.386961533226313e-10
-2.0,1,0.2357235863095238,86.86368726809927,5.387289134390286e-10
0.0,1,0.36393229166666663,93.35943290091895,5.388220608417954e-10
2.0,1,0.4478236607142857,99.14903997873112,5.404734181453301e-10
4.0,1,0.4888392857142857,104.31249392041094,5.47532113171639e-10
6.0,1,0.49720982142857145,109.84731661362822,5.663367565093361e-10
8.0,1,0.498046875,116.19030159086226,6.105418271720825e-10
10.0,1,0.498046875,124.32453971997832,6.92994622173263e-10
-10.0,2,0.020219789174998358,62.94132973585022,5.372631796491456e-10
-8.0,2,0.04125111642915873,66.9848585755061,5.373889256355528e-10
-6.0,2,0.10036771238346083,71.78858343110356,5.374157995893094e-10
-4.0,2,0.2108816964285714,78.00661229591798,5.411876280630723e-10
-2.0,2,0.35993303571428575,84.16823244814034,5.365795464344173e-10
0.0,2,0.4584263392857143,89.47537430613177,5.387345721945718e-10
2.0,2,0.4927455357142857,93.21590609584132,5.409424372944848e-10
4.0,2,0.49720982142857145,96.75769007771751,5.446415648282062e-10
6.0,2,0.498046875,101.38674910497517,5.564964685175856e-10
8.0,2,0.498046875,108.56967920522733,5.95392926532723e-10
10.0,2,0.498046875,121.41377092828388,6.961034689322467e-10
-10.0,3,0.015077209171915034,63.006320068012734,5.372908208130193e-10
-8.0,3,0.021746050721283532,67.45178206876727,5.37379429927035e-10
-6.0,3,0.042312587348372184,72.3907371322347,5.376765990198579e-10
-4.0,3,0.10013842135112751,77.87797563940516,5.381643599987401e-10
-2.0,3,0.21217447916666665,85.44796628510305,5.388403823807772e-10
0.0,3,0.3584449404761906,91.737623325238,5.391436784188803e-10
2.0,3,0.4453125,97.14054889100512,5.397535109593261e-10
4.0,3,0.486328125,101.96772053821437,5.424640768106719e-10
6.0,3,0.49609375,106.84212440496098,5.510485641760508e-10
8.0,3,0.498046875,112.72195685761143,5.74919693738875e-10
10.0,3,0.498046875,120.7784799102741,6.367477048618433e-10
-10.0,4,0.01314647438577421,59.772868479459206,5.370206719222705e-10
-8.0,4,0.01770492867545028,63.554232934717824,5.369571962426104e-10
-6.0,4,0.02743460568306925,68.2249693963334,5.369831332477836e-10
-4.0,4,0.050284460021570825,73.38993117140512,5.369724567363268e-10
-2.0,4,0.09824953963239524,78.94479130444863,5.385237675217552e-10
0.0,4,0.18163132440476187,84.74589259090423,5.390160482409659e-10
2.0,4,0.29571242559523814,90.3411430298296,5.408393913685013e-10
4.0,4,0.4133184523809524,94.41267757204487,5.479986366474486e-10
6.0,4,0.47739955357142855,98.12066596244108,5.564452313269032e-10
8.0,4,0.49497767857142855,102.14318735848944,5.841179768186795e-10
10.0,4,0.4994419642857143,106.90055094488855,6.387509688208049e-10
