snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.08326,90.1057883072813,5.421162629477586e-10,8326,100000,0.19272650840305128,-0.0027759191419196223
-3.0,0.02701,85.97972326338633,5.35748615192189e-10,2701,100000,0.25779251028499706,-0.001809924511356293
-1.0,0.00779,80.4799716490681,5.332684811042183e-10,779,100000,0.34659570660439143,0.004758035400565813
1.0,0.00171,73.89751708616478,5.349410998656511e-10,171,100000,0.43753664436915984,-0.0009760102493077864
3.0,0.0008,63.59285429840251,5.371994022700303e-10,160,200000,0.5555773217353484,-0.002169874635745637
5.0,0.00040666666666666667,55.98534432010413,5.350662187187973e-10,122,300000,0.630182111875572,0.0009619990732592491
7.0,0.0003325,47.75049013825912,5.358389618711842e-10,133,400000,0.6970366338319735,0.001045673728938917
9.0,0.00023,40.758645935741036,5.360074287668762e-10,115,500000,0.7496286322577462,-0.0005112626857116384
11.0,0.000185,36.0070813208355,5.352826144194593e-10,111,600000,0.7811905393555982,-1.2805735445328948e-05
13.0,0.00018333333333333334,32.153779495294735,5.34508262464072e-10,110,600000,0.8071537011996256,0.002016378494182084
15.0,0.00020166666666666667,29.679311510195554,5.347849950413177e-10,121,600000,0.8232739279813197,0.003679533239215908
17.0,0.00016,26.750197087577064,5.335698511205663e-10,112,700000,0.8420350343755455,0.0005278977213291414
19.0,0.00016142857142857143,25.588764995718105,5.343709923063761e-10,113,700000,0.8489313142330878,0.003176198561886642
21.0,0.00015428571428571428,24.80290795190233,5.348787343602492e-10,108,700000,0.8538008742710799,0.00014670219666892292
