snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols
-5.0,0.09027777777777778,87.92083215803198,5.697729455503418e-10,104,1152
-3.0,0.030348557692307692,84.13883261276207,5.465370536600028e-10,101,3328
-1.0,0.006056201550387597,81.40427321821556,5.391707755102893e-10,100,16512
1.0,0.001725,70.45770739134015,5.34500873395241e-10,69,40000
3.0,0.000575,62.517154978124985,5.370173085219359e-10,23,40000
5.0,0.0002,54.66774166193857,5.36931437822169e-10,8,40000
7.0,0.000325,47.05523691212884,5.287017415424541e-10,13,40000
9.0,0.0003,40.17536974857761,5.273472731795129e-10,12,40000
11.0,0.0001,34.83594698766604,5.335869524827517e-10,4,40000
13.0,0.000175,30.53234769170997,5.340447033558416e-10,7,40000
15.0,0.000125,27.88750153961497,5.293226416934481e-10,5,40000
17.0,0.0002,26.503621680167218,5.328857743091825e-10,8,40000
19.0,0.000125,25.397901652149848,5.323733784334273e-10,5,40000
21.0,0.000125,24.20498109789803,5.340069611712741e-10,5,40000
