jsr_db,ber,ber_std,ber_min,ber_max,mse_tau,mse_tau_std,mse_fd,mse_fd_std,n_realizations
-10.0,0.01508585010496736,0.001796136937527349,0.013312944308631414,0.018553077714294673,60.82579790163639,1.933767217202272,5.352417183556509e-10,8.644740870088945e-14,5
-8.0,0.024471470607832682,0.005383793533945942,0.02063206929226915,0.03507930690933089,65.20566288452349,2.2237640236688674,5.353115057273812e-10,1.2621937265388794e-13,5
-6.0,0.048088552118608636,0.01758347701557274,0.03597655635637339,0.08294632374093916,70.36694244109779,2.4233038080360014,5.353433625081348e-10,2.875987805188298e-13,5
-4.0,0.1021007721341024,0.03776611739053531,0.06488921128152754,0.17386532738095237,76.49363106686062,2.633745403842869,5.361052988443498e-10,1.1885823239935442e-12,5
-2.0,0.19498395101977356,0.060532601603203194,0.12526520577914002,0.302641369047619,84.01423473806213,3.665975725195614,5.379050993404401e-10,7.933647519431438e-13,5
0.0,0.31674293154761907,0.0720937232732861,0.21615513392857144,0.4273623511904762,91.31810159427735,3.8974739577225805,5.358575536562108e-10,1.727072017344575e-12,5
2.0,0.4190290178571428,0.0488583062901926,0.3408668154761904,0.48465401785714285,95.90499700863054,4.808401982830237,5.370581821384259e-10,2.0131772282354634e-12,5
4.0,0.47667410714285713,0.020064934397968272,0.4400111607142857,0.49693080357142855,99.3846947514784,5.656669950636664,5.378262174874751e-10,1.2225507718657799e-12,5
6.0,0.49458705357142857,0.004986853931417167,0.48465401785714285,0.49776785714285715,102.34474993657201,6.521167925540551,5.407810444270698e-10,1.907802460325689e-12,5
8.0,0.49888392857142855,0.0012967578168105252,0.498046875,0.5013950892857143,105.78846195856775,7.38527641122884,5.486524742256579e-10,6.0193156160513846e-12,5
10.0,0.49938616071428577,0.0016497483815953468,0.498046875,0.5016741071428571,110.911283657643,8.667573531966307,5.695448141566825e-10,2.15221036326401e-11,5
