snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.089,88.92730263744087,5.379747886531405e-10,8900,100000,0.18734276169807618,0.0011820356827322482
-3.0,0.028,85.57554688561048,5.336319875667904e-10,2800,100000,0.25551488530411853,0.001089351804671744
-1.0,0.00724,80.35576887298166,5.315769795127625e-10,724,100000,0.343975722867443,0.008859338296130084
1.0,0.00137,73.77740287490624,5.336538341112993e-10,137,100000,0.4311135023187625,-0.0022973889855294125
3.0,0.00056,62.970599768026766,5.356563355017353e-10,112,200000,0.5549605727730922,0.0005512147879221668
5.0,0.0003175,54.45853817717602,5.339621722323614e-10,127,400000,0.6363563007890053,0.0003796855161083817
7.0,0.000236,46.77316561811739,5.343959040451078e-10,118,500000,0.7003494177139602,0.000294510842198973
9.0,0.00018666666666666666,39.8434836831913,5.342967594481279e-10,112,600000,0.7521677524107109,0.0016400776097334638
11.0,0.00018,34.63548504914644,5.341261120974856e-10,108,600000,0.7888177406584577,-0.0003174889108498073
13.0,0.00015857142857142857,29.924679980589023,5.332160302737816e-10,111,700000,0.821455496481311,0.0025509871476413334
15.0,0.00018166666666666667,28.081893474961095,5.33759453248514e-10,109,600000,0.83298968922485,0.002776852228936159
17.0,0.00014571428571428572,25.063012279530795,5.325415752301715e-10,102,700000,0.8521874455742035,0.0009102097355977645
19.0,0.00015125,25.07440121833316,5.330606549083472e-10,121,800000,0.8515137951518857,0.0023417145525704217
21.0,0.00015285714285714287,23.10592790411189,5.339243735790985e-10,107,700000,0.8642346902286036,0.00018677763769099257
