snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols
-5.0,0.11495535714285714,91.17863497071039,5.718326985847117e-10,103,896
-3.0,0.03622159090909091,85.09393566599356,5.463535212642658e-10,102,2816
-1.0,0.00941265060240964,81.31231594583319,5.395493451655472e-10,100,10624
1.0,0.004245923913043478,72.66440150906244,5.318275116133138e-10,100,23552
3.0,0.000925,62.35051802091482,5.364064302160351e-10,37,40000
5.0,0.0004,54.85436995908393,5.367597249492939e-10,16,40000
7.0,0.00035,47.353817004346304,5.287067306698175e-10,14,40000
9.0,0.0002,40.46712578076451,5.271979624996079e-10,8,40000
11.0,2.5e-05,35.30133961023479,5.33632130152182e-10,1,40000
13.0,0.000125,31.049312312229944,5.340047844544603e-10,5,40000
15.0,0.0002,28.438289802228553,5.292184719641416e-10,8,40000
17.0,0.000125,27.246472665317444,5.325983632959316e-10,5,40000
19.0,5e-05,26.109054680970374,5.323559952977464e-10,2,40000
21.0,0.0001,24.84527944698654,5.338439891455037e-10,4,40000
