snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.10796,90.45871877620402,5.403708485147839e-10,10796,100000,0.18193152373084587,0.002931648626776395
-3.0,0.03852,86.02354389380973,5.336307063827022e-10,3852,100000,0.2573189491273854,0.003252430483420469
-1.0,0.01048,80.34452595637228,5.314244749017063e-10,1048,100000,0.34588097548725316,0.0047947690080273435
1.0,0.00271,73.57702969113323,5.33065482360693e-10,271,100000,0.43377301147286684,0.0024077282589115463
3.0,0.00098,62.98165410428796,5.353421923038271e-10,196,200000,0.5547805309771521,-0.0009953910011380133
5.0,0.0004333333333333333,55.339982783284526,5.3365991177155e-10,130,300000,0.6291516500256138,-0.003492508318130352
7.0,0.00027,47.06956368045057,5.343202295507632e-10,108,400000,0.6981974255763552,0.0005507580944886378
9.0,0.000175,40.182596838995394,5.34059436562875e-10,105,600000,0.7502578269952059,0.0008433010348094389
11.0,0.0001375,35.11762991205062,5.337331733492547e-10,110,800000,0.7861632615758493,0.0005166877397574279
13.0,0.000103,31.28340710938275,5.329725831108181e-10,103,1000000,0.8124022692230938,0.00012499843949341198
15.0,0.00013375,28.679458932657447,5.331095878809898e-10,107,800000,0.8295886080558622,0.0025597855174185236
17.0,0.000112,26.81709025392114,5.331860048014442e-10,112,1000000,0.8409304201546444,-0.0002301086522802172
19.0,8.666666666666667e-05,25.744681130337927,5.332891686103261e-10,104,1200000,0.8477831077945869,0.001606856436094498
21.0,9.25e-05,25.046707558824174,5.339707411296818e-10,111,1200000,0.8519399176139084,0.0015481167552578896
