snr_db,n_err,n_sym,ber,corr_tau,arch,jammer,jsr_db,ber_std,realization,n_realizations
-1.0,435.0,40000.0,0.010875,0.3774878928644706,conv1d,clean,,,,
3.0,47.0,40000.0,0.001175,0.5557506118831872,conv1d,clean,,,,
7.0,14.0,40000.0,0.00035,0.6909189667442526,conv1d,clean,,,,
11.0,4.0,40000.0,0.0001,0.7772442753691721,conv1d,clean,,,,
15.0,5.0,40000.0,0.000125,0.8249228979891282,conv1d,clean,,,,
21.0,7.0,40000.0,0.000175,0.8489720853703283,conv1d,clean,,,,
-1.0,1388.6,40000.0,0.034714999999999996,0.35764373984659265,conv1d,cw,-10.0,0.013755586138002263,2.0,5.0
3.0,601.0,40000.0,0.015025,0.5152034805733138,conv1d,cw,-10.0,0.010427439762472858,2.0,5.0
7.0,409.2,40000.0,0.01023,0.6261544328088717,conv1d,cw,-10.0,0.007777393522254097,2.0,5.0
11.0,342.6,40000.0,0.008565,0.6895701671355552,conv1d,cw,-10.0,0.006610041603499936,2.0,5.0
15.0,356.6,40000.0,0.008915000000000001,0.7155840095499263,conv1d,cw,-10.0,0.0072342000248818115,2.0,5.0
21.0,358.8,40000.0,0.00897,0.7255805280386703,conv1d,cw,-10.0,0.006879505796203677,2.0,5.0
-1.0,5139.8,40000.0,0.12849499999999997,0.3341802330899654,conv1d,cw,-6.0,0.06368140898252801,2.0,5.0
3.0,4167.4,40000.0,0.104185,0.4702620551336568,conv1d,cw,-6.0,0.06591077795019566,2.0,5.0
7.0,3792.6,40000.0,0.09481500000000001,0.5587717106119026,conv1d,cw,-6.0,0.06727668912781008,2.0,5.0
11.0,3682.4,40000.0,0.09206,0.6035847897825416,conv1d,cw,-6.0,0.06860328454235994,2.0,5.0
15.0,3685.8,40000.0,0.092145,0.6183881754697769,conv1d,cw,-6.0,0.06810676251298398,2.0,5.0
21.0,3685.6,40000.0,0.09214,0.622480281482951,conv1d,cw,-6.0,0.06950568070309074,2.0,5.0
-1.0,13058.4,40000.0,0.32646,0.290989497253009,conv1d,cw,-2.0,0.15409921771378335,2.0,5.0
3.0,13046.6,40000.0,0.3261649999999999,0.3912723941553587,conv1d,cw,-2.0,0.16625589282789346,2.0,5.0
7.0,13005.2,40000.0,0.32513000000000003,0.4465308288686492,conv1d,cw,-2.0,0.16972911093857768,2.0,5.0
11.0,12989.0,40000.0,0.32472500000000004,0.47091152888637966,conv1d,cw,-2.0,0.17193552497956902,2.0,5.0
15.0,12977.4,40000.0,0.324435,0.4762811823831824,conv1d,cw,-2.0,0.17266952293326115,2.0,5.0
21.0,12952.8,40000.0,0.32382,0.4766381465691798,conv1d,cw,-2.0,0.17284780256051854,2.0,5.0
-1.0,16548.8,40000.0,0.41372,0.21822010242344997,conv1d,cw,2.0,0.16716687874695754,2.0,5.0
3.0,16312.6,40000.0,0.407815,0.27148141478928023,conv1d,cw,2.0,0.1822223405622922,2.0,5.0
7.0,16234.6,40000.0,0.40586500000000003,0.2979749199904218,conv1d,cw,2.0,0.1864349568884548,2.0,5.0
11.0,16219.2,40000.0,0.40548,0.30749954995058404,conv1d,cw,2.0,0.18770441617074435,2.0,5.0
15.0,16221.4,40000.0,0.405535,0.31037031898336,conv1d,cw,2.0,0.18781893714426134,2.0,5.0
