snr_db,n_err,n_sym,ber,corr_tau,arch,jammer,jsr_db,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_q05,ber_q95,realization,n_realizations
-1.0,165.0,13334.0,0.012374381280935954,0.37050150559703166,qkv,clean,,,,,,,,,
3.0,17.0,13333.0,0.001275031875796895,0.5543137625290054,qkv,clean,,,,,,,,,
7.0,8.0,13333.0,0.0006000150003750093,0.6854379740901045,qkv,clean,,,,,,,,,
11.0,3.0,13333.0,0.00022500562514062852,0.7688381943082702,qkv,clean,,,,,,,,,
15.0,6.0,13334.0,0.00044997750112494374,0.8102431033813425,qkv,clean,,,,,,,,,
21.0,2.0,13333.0,0.00015000375009375234,0.8293351007951694,qkv,clean,,,,,,,,,
-1.0,287.2,13334.0,0.021538923053847303,0.34946256145041715,qkv,cw,-10.0,0.004977943545868676,0.0013304113742387998,0.018931364675716815,0.02414648143197779,0.013431828408579571,0.029136043197840106,7.0,15.0
3.0,46.53333333333333,13333.0,0.0034900872521813047,0.5123301828495219,qkv,cw,-10.0,0.001792710430751658,0.0004791220161120454,0.002551025356401476,0.004429149147961133,0.0012300307507687692,0.006270156753918848,7.0,15.0
7.0,14.666666666666666,13333.0,0.0011000275006875172,0.6220550921780101,qkv,cw,-10.0,0.0006091129211366708,0.00016279227576789125,0.0007809605032211379,0.0014190944981538967,0.0003750093752343809,0.0019950498762469062,7.0,15.0
11.0,5.533333333333333,13333.0,0.00041501037525938146,0.6834332808422665,qkv,cw,-10.0,0.00028706117841760694,7.672032704873366e-05,0.00026464129736172935,0.0005653794531570336,0.0001275031875796895,0.0008700217505437634,7.0,15.0
15.0,7.466666666666667,13334.0,0.00055997200139993,0.7147440290781203,qkv,cw,-10.0,0.0004214643950943972,0.0001126410976547973,0.0003391995068174682,0.0007807444959823919,7.499625018749062e-05,0.0011924403779811008,7.0,15.0
21.0,5.2,13333.0,0.0003900097502437561,0.7261104271248127,qkv,cw,-10.0,0.0002755064339399667,7.36321916896588e-05,0.0002456933064292754,0.0005343261940582368,7.500187504687617e-05,0.0007950198754968873,7.0,15.0
-1.0,572.0,13334.0,0.04289785510724464,0.3288672832556437,qkv,cw,-6.0,0.015285602194628468,0.004085249025915684,0.034890914148572566,0.05090479606591672,0.017009149542522875,0.06092695365231736,7.0,15.0
3.0,98.33333333333333,13333.0,0.0073751843796094904,0.47358254800590716,qkv,cw,-6.0,0.004442126361552291,0.0011872082081203846,0.005048299049543205,0.009702069709675777,0.0019500487512187806,0.013755343883597086,7.0,15.0
7.0,24.533333333333335,13333.0,0.0018400460011500288,0.5659632756890841,qkv,cw,-6.0,0.0013761339637007408,0.00036778727217652715,0.0011191961937118055,0.002560895808588252,0.00035250881272031804,0.004027600690017249,7.0,15.0
11.0,12.6,13333.0,0.0009450236255906399,0.6105818446229058,qkv,cw,-6.0,0.0007484170001077091,0.00020002285691715735,0.0005529860299482031,0.0013370612212330766,0.00020250506262656568,0.0023925598139953497,7.0,15.0
15.0,10.866666666666667,13334.0,0.0008149592520373981,0.633855673255091,qkv,cw,-6.0,0.0006171401079629807,0.0001649376316881539,0.0004916874342332842,0.0011382310698415119,0.00012749362531873406,0.0018224088795560222,7.0,15.0
21.0,9.066666666666666,13333.0,0.0006800170004250107,0.641006392168077,qkv,cw,-6.0,0.0005595673825260744,0.0001495506735876033,0.00038690306632960285,0.0009731309345204185,0.00015000375009375234,0.0015300382509562732,7.0,15.0
-1.0,958.7333333333333,13334.0,0.07190140492975351,0.2964799602317745,qkv,cw,-2.0,0.043328672468941086,0.011580074814465866,0.049204875355121074,0.09459793450438594,0.027816109194540275,0.1480575971201439,7.0,15.0
3.0,172.73333333333332,13333.0,0.01295532388309708,0.41631352748229866,qkv,cw,-2.0,0.014669657794525786,0.003920630960595238,0.005271028403657739,0.02063961936253642,0.003352583814595365,0.04698117452936323,7.0,15.0
7.0,47.86666666666667,13333.0,0.0035900897522438053,0.48727227519576655,qkv,cw,-2.0,0.004709247162400928,0.0012585992450958325,0.0011232805608866738,0.006056898943600937,0.0007350183754593865,0.012825320633015816,7.0,15.0
11.0,28.866666666666667,13333.0,0.002165054126353159,0.5135429779227836,qkv,cw,-2.0,0.0033792337820740797,0.0009031382173095373,0.00039493574736475744,0.00393517250534156,0.00045001125028125703,0.008265206630165747,7.0,15.0
15.0,22.6,13334.0,0.0016949152542372883,0.5302449064438319,qkv,cw,-2.0,0.0028088807377985195,0.0007507049543679192,0.00022356058066038244,0.003166269927814194,0.00020248987550622468,0.005684715764211781,7.0,15.0
21.0,21.8,13333.0,0.0016350408760219006,0.5356876466092115,qkv,cw,-2.0,0.002635715717888673,0.0007044246560910238,0.00025439392026148063,0.0030156878317823205,0.000255006375159379,0.005640141003525079,7.0,15.0
-1.0,1109.0666666666666,13334.0,0.0831758412079396,0.2542375712988948,qkv,cw,2.0,0.06436481225589999,0.017202219658971864,0.04946011022220786,0.11689157219367133,0.045972701364931756,0.2159892005399729,7.0,15.0
3.0,280.53333333333336,13333.0,0.021040526013150325,0.3394318379280841,qkv,cw,2.0,0.03217029523874404,0.008597873058196084,0.0041890044754387505,0.037892047550861896,0.003967599189979749,0.07478436960924015,7.0,15.0
7.0,136.06666666666666,13333.0,0.010205255131378285,0.3876560136861557,qkv,cw,2.0,0.019187496130821463,0.005128074045113181,0.00015441469290182475,0.020256095569854745,0.0011100277506937673,0.03567089177229424,7.0,15.0
11.0,108.2,13333.0,0.008115202880072002,0.3967614505871593,qkv,cw,2.0,0.015937553140970305,0.0042594902455009844,0.0,0.0164636503537536,0.0005550138753468837,0.03201830045751139,7.0,15.0
15.0,95.8,13334.0,0.007184640767961601,0.41060467464666306,qkv,cw,2.0,0.014486568379330125,0.0038716982561090257,0.0,0.014773029908941825,0.0004274786260686966,0.02866356682165887,7.0,15.0
21.0,99.2,13333.0,0.007440186004650116,0.41462545813088686,qkv,cw,2.0,0.014572157261560331,0.0038945728470677673,0.0,0.015073408520070558,0.000412510312757819,0.030518262956573873,7.0,15.0
-1.0,1970.1333333333334,13334.0,0.14775261236938153,0.19233767503304092,qkv,cw,6.0,0.10043055060704754,0.026841193681188116,0.09514483945218877,0.2003603852865743,0.04415779211039448,0.3238338083095844,7.0,15.0
3.0,1394.9333333333334,13333.0,0.10462261556538914,0.24207170034328548,qkv,cw,6.0,0.12308740336027171,0.03289649228584174,0.040146675467439635,0.16909855566333865,0.0072976824420610525,0.3416485412135303,7.0,15.0
7.0,1247.3333333333333,13333.0,0.0935523388084702,0.26726361413134836,qkv,cw,6.0,0.13094641972014748,0.03499690275839219,0.024959669831571052,0.16214500778536936,0.0028875721893047326,0.3629790744768619,7.0,15.0
11.0,1213.4,13333.0,0.09100727518187954,0.2673334431917299,qkv,cw,6.0,0.13469430190772444,0.03599856640638547,0.020451381530290552,0.16156316883346852,0.0019200480012000302,0.3758868971724293,7.0,15.0
15.0,1190.3333333333333,13334.0,0.08927053647317634,0.2792948437521648,qkv,cw,6.0,0.13626736980646031,0.03641898648661418,0.017890634605961644,0.16065043834039106,0.002024898755062247,0.37819109044547766,7.0,15.0
21.0,1193.2666666666667,13333.0,0.08949723743093577,0.2787418085989754,qkv,cw,6.0,0.13749660579088624,0.036747513622415295,0.017473434209606786,0.16152104065226475,0.001470036750918773,0.3819695492387309,7.0,15.0
-1.0,4127.533333333334,13334.0,0.3095495225238738,0.1320645656244888,qkv,cw,10.0,0.1528900783372033,0.0408615922124888,0.22946227343643344,0.38963677161131416,0.08627568621568922,0.4977651117444128,7.0,15.0
3.0,3811.3333333333335,13333.0,0.28585714642866067,0.15669513100529464,qkv,cw,10.0,0.17942191084420098,0.04795252271852144,0.19187192893251995,0.3798423639248014,0.026948173704342607,0.5034125853146328,7.0,15.0
7.0,3702.4,13333.0,0.2776869421735544,0.16992343781713526,qkv,cw,10.0,0.1885374051625852,0.05038874105069845,0.17892682448787048,0.3764470598592383,0.015562889072226808,0.5006375159378984,7.0,15.0
11.0,3650.3333333333335,13333.0,0.2737818445461137,0.1646969734452856,qkv,cw,10.0,0.19126446306587586,0.051117577932699,0.17359323282110428,0.37397045627112313,0.012997824945623642,0.5016875421885547,7.0,15.0
15.0,3611.4666666666667,13334.0,0.2708464576771162,0.17498639792892492,qkv,cw,10.0,0.1925885342457381,0.051471450840609445,0.1699642677974978,0.37172864755673457,0.00952452377381131,0.5059997000149993,7.0,15.0
21.0,3613.3333333333335,13333.0,0.2710067751693792,0.1744178682087058,qkv,cw,10.0,0.1925725971863124,0.05146719148231489,0.1701329334786154,0.371880616860143,0.00850521263031576,0.5020625515637891,7.0,15.0
-1.0,228.46666666666667,13334.0,0.017134143292835358,0.34577883653532204,qkv,barrage,-10.0,0.000604866442071361,0.00016165735649914143,0.016817300696261087,0.017450985889409628,0.01623668816559172,0.017984100794960253,7.0,15.0
3.0,35.6,13333.0,0.0026700667516687915,0.5041985896647507,qkv,barrage,-10.0,0.0003272695451777009,8.74664650843066e-05,0.0024986356302485204,0.0028414978730890625,0.0022050551263781593,0.00324008100202505,7.0,15.0
7.0,12.733333333333333,13333.0,0.0009550238755968899,0.609917440860437,qkv,barrage,-10.0,0.00020396587969070365,5.4512174313897595e-05,0.0008481819772226812,0.0010618657739710985,0.0006525163129078227,0.0012975324383109577,7.0,15.0
11.0,5.2,13333.0,0.00039000975024375614,0.6725078766484681,qkv,barrage,-10.0,8.746646508430663e-05,2.3376396084121493e-05,0.00034419285583053486,0.00043582664465697743,0.00027750693767344183,0.000547513687842196,7.0,15.0
15.0,7.933333333333334,13334.0,0.0005949702514874255,0.7079924452299498,qkv,barrage,-10.0,0.00023150516279766463,6.187235731844184e-05,0.0004737026595046863,0.0007162378434701647,0.00027748612569371533,0.0009974501274936252,7.0,15.0
21.0,6.333333333333333,13333.0,0.00047501187529688235,0.722693721014163,qkv,barrage,-10.0,0.00012450210853260065,3.32745881471383e-05,0.00040979488092808796,0.0005402288696656767,0.00030000750018750467,0.0006675166879171976,7.0,15.0
-1.0,363.8,13334.0,0.027283635818209088,0.3156315816349023,qkv,barrage,-6.0,0.0011779266723385977,0.00031481414533098305,0.0266666114315366,0.027900660204881574,0.025558722063896804,0.0292110394480276,7.0,15.0
3.0,86.06666666666666,13333.0,0.006455161379034475,0.4463432713081525,qkv,barrage,-6.0,0.0006193699869377542,0.0001655335919122663,0.006130721500654883,0.006779601257414067,0.005452636315907897,0.0072751818795469885,7.0,15.0
