snr_db,n_err,n_sym,ber,corr_tau,arch,jammer,jsr_db
-1.0,306,40000,0.00765,0.38127410871035783,lstm,clean,
3.0,30,40000,0.00075,0.559967240354085,lstm,clean,
7.0,19,40000,0.000475,0.6960380281080818,lstm,clean,
11.0,6,40000,0.00015,0.7815182614537566,lstm,clean,
15.0,5,40000,0.000125,0.8242430983445753,lstm,clean,
21.0,10,40000,0.00025,0.8443116281597796,lstm,clean,
-1.0,323,40000,0.008075,0.3655842033843801,lstm,cw,-10.0
3.0,32,40000,0.0008,0.5272337226815927,lstm,cw,-10.0
7.0,21,40000,0.000525,0.6411148589486148,lstm,cw,-10.0
11.0,7,40000,0.000175,0.7035329251341254,lstm,cw,-10.0
15.0,7,40000,0.000175,0.7316178643572228,lstm,cw,-10.0
21.0,11,40000,0.000275,0.734599173633961,lstm,cw,-10.0
-1.0,1939,40000,0.048475,0.3466664840209694,lstm,cw,-6.0
3.0,1262,40000,0.03155,0.49031760419668885,lstm,cw,-6.0
7.0,1129,40000,0.028225,0.5791306757538857,lstm,cw,-6.0
11.0,1047,40000,0.026175,0.6236380986593315,lstm,cw,-6.0
15.0,1148,40000,0.0287,0.6403710530899389,lstm,cw,-6.0
21.0,1112,40000,0.0278,0.6409063367640812,lstm,cw,-6.0
-1.0,11286,40000,0.28215,0.3047393161687325,lstm,cw,-2.0
3.0,10040,40000,0.251,0.4288114071913252,lstm,cw,-2.0
7.0,9463,40000,0.236575,0.5058727752550846,lstm,cw,-2.0
11.0,9189,40000,0.229725,0.5455232143628227,lstm,cw,-2.0
15.0,9231,40000,0.230775,0.5531118323866209,lstm,cw,-2.0
21.0,9055,40000,0.226375,0.5555850117813189,lstm,cw,-2.0
-1.0,18864,40000,0.4716,0.2510052727328519,lstm,cw,2.0
3.0,19312,40000,0.4828,0.3136895113148132,lstm,cw,2.0
7.0,19505,40000,0.487625,0.33520104737006956,lstm,cw,2.0
11.0,19649,40000,0.491225,0.34238503333575054,lstm,cw,2.0
15.0,19648,40000,0.4912,0.3458929715918256,lstm,cw,2.0
21.0,19649,40000,0.491225,0.3420645193468913,lstm,cw,2.0
-1.0,20000,40000,0.5,0.10947160644860453,lstm,cw,6.0
3.0,20000,40000,0.5,0.11950493160524331,lstm,cw,6.0
7.0,20000,40000,0.5,0.13432163223276491,lstm,cw,6.0
11.0,20000,40000,0.5,0.1336652022348854,lstm,cw,6.0
15.0,20000,40000,0.5,0.1365980713878808,lstm,cw,6.0
21.0,20000,40000,0.5,0.12547878532955795,lstm,cw,6.0
-1.0,20000,40000,0.5,0.07129395247709285,lstm,cw,10.0
3.0,20000,40000,0.5,0.08618444918196888,lstm,cw,10.0
7.0,20000,40000,0.5,0.07717087874360207,lstm,cw,10.0
11.0,20000,40000,0.5,0.07908045030376717,lstm,cw,10.0
15.0,20000,40000,0.5,0.0855088223903837,lstm,cw,10.0
21.0,20000,40000,0.5,0.0885662244785127,lstm,cw,10.0
-1.0,480,40000,0.012,0.35803823497254644,lstm,barrage,-10.0
3.0,70,40000,0.00175,0.5105872877889647,lstm,barrage,-10.0
7.0,26,40000,0.00065,0.6194395794355342,lstm,barrage,-10.0
11.0,15,40000,0.000375,0.682705512666552,lstm,barrage,-10.0
15.0,18,40000,0.00045,0.7141119033733435,lstm,barrage,-10.0
21.0,21,40000,0.000525,0.7270510106616366,lstm,barrage,-10.0
-1.0,778,40000,0.01945,0.32830929064836845,lstm,barrage,-6.0
3.0,162,40000,0.00405,0.4534366392476459,lstm,barrage,-6.0
7.0,103,40000,0.002575,0.5321508529186321,lstm,barrage,-6.0
11.0,56,40000,0.0014,0.5738269240522424,lstm,barrage,-6.0
15.0,56,40000,0.0014,0.5950674202931195,lstm,barrage,-6.0
21.0,64,40000,0.0016,0.6062897812748732,lstm,barrage,-6.0
-1.0,1774,40000,0.04435,0.27089992858199907,lstm,barrage,-2.0
3.0,718,40000,0.01795,0.3486757226331823,lstm,barrage,-2.0
7.0,485,40000,0.012125,0.39452056852668554,lstm,barrage,-2.0
11.0,408,40000,0.0102,0.42854539420760884,lstm,barrage,-2.0
15.0,398,40000,0.00995,0.429986921068599,lstm,barrage,-2.0
21.0,358,40000,0.00895,0.4305998917959946,lstm,barrage,-2.0
-1.0,4694,40000,0.11735,0.19237248536465582,lstm,barrage,2.0
3.0,3164,40000,0.0791,0.2320795439885925,lstm,barrage,2.0
7.0,2653,40000,0.066325,0.24879819040877427,lstm,barrage,2.0
11.0,2543,40000,0.063575,0.2576209790815847,lstm,barrage,2.0
15.0,2467,40000,0.061675,0.2567541140272135,lstm,barrage,2.0
21.0,2377,40000,0.059425,0.2512616496452751,lstm,barrage,2.0
-1.0,10112,40000,0.2528,0.1183215089658997,lstm,barrage,6.0
3.0,9183,40000,0.229575,0.1274080279173959,lstm,barrage,6.0
7.0,8795,40000,0.219875,0.1389797685788462,lstm,barrage,6.0
11.0,8354,40000,0.20885,0.14156785776785058,lstm,barrage,6.0
15.0,8499,40000,0.212475,0.13334620393887142,lstm,barrage,6.0
21.0,8515,40000,0.212875,0.14004710036011275,lstm,barrage,6.0
-1.0,15660,40000,0.3915,0.06358002823246213,lstm,barrage,10.0
3.0,15270,40000,0.38175,0.0721329266945369,lstm,barrage,10.0
