snr_db,n_err,n_sym,ber,corr_tau,arch,jammer,jsr_db
-1.0,283,40000,0.007075,0.38008278059350176,mc_dlsk,clean,
3.0,23,40000,0.000575,0.55758648542961,mc_dlsk,clean,
7.0,13,40000,0.000325,0.7006387926409451,mc_dlsk,clean,
11.0,4,40000,0.0001,0.7893097635101516,mc_dlsk,clean,
15.0,5,40000,0.000125,0.8342043129202451,mc_dlsk,clean,
21.0,5,40000,0.000125,0.8550310190743241,mc_dlsk,clean,
-1.0,313,40000,0.007825,0.3670171924676415,mc_dlsk,cw,-10.0
3.0,27,40000,0.000675,0.5236387552589644,mc_dlsk,cw,-10.0
7.0,11,40000,0.000275,0.646517550574598,mc_dlsk,cw,-10.0
11.0,5,40000,0.000125,0.710315216839108,mc_dlsk,cw,-10.0
15.0,6,40000,0.00015,0.7399156986890512,mc_dlsk,cw,-10.0
21.0,9,40000,0.000225,0.7436287480150009,mc_dlsk,cw,-10.0
-1.0,1398,40000,0.03495,0.3479358914389619,mc_dlsk,cw,-6.0
3.0,890,40000,0.02225,0.48716108850718876,mc_dlsk,cw,-6.0
7.0,754,40000,0.01885,0.5813906987825423,mc_dlsk,cw,-6.0
11.0,675,40000,0.016875,0.6273170860592677,mc_dlsk,cw,-6.0
15.0,766,40000,0.01915,0.6461981212345738,mc_dlsk,cw,-6.0
21.0,750,40000,0.01875,0.6484595084566596,mc_dlsk,cw,-6.0
-1.0,13080,40000,0.327,0.30132357747772326,mc_dlsk,cw,-2.0
3.0,11638,40000,0.29095,0.4263620024031545,mc_dlsk,cw,-2.0
7.0,10791,40000,0.269775,0.508764349107497,mc_dlsk,cw,-2.0
11.0,10355,40000,0.258875,0.5480353459521972,mc_dlsk,cw,-2.0
15.0,10354,40000,0.25885,0.5548494623000969,mc_dlsk,cw,-2.0
21.0,10178,40000,0.25445,0.5582640464438736,mc_dlsk,cw,-2.0
-1.0,17795,40000,0.444875,0.23564542602057822,mc_dlsk,cw,2.0
3.0,18048,40000,0.4512,0.2927769033334366,mc_dlsk,cw,2.0
7.0,17912,40000,0.4478,0.32115687798978376,mc_dlsk,cw,2.0
11.0,17879,40000,0.446975,0.3288253085887185,mc_dlsk,cw,2.0
15.0,17821,40000,0.445525,0.3332434438577214,mc_dlsk,cw,2.0
21.0,17773,40000,0.444325,0.3345172945906962,mc_dlsk,cw,2.0
-1.0,20000,40000,0.5,0.07956694678331068,mc_dlsk,cw,6.0
3.0,20000,40000,0.5,0.08536707097545686,mc_dlsk,cw,6.0
7.0,20000,40000,0.5,0.10496220143100105,mc_dlsk,cw,6.0
11.0,20000,40000,0.5,0.10222586375756101,mc_dlsk,cw,6.0
15.0,20000,40000,0.5,0.1074901471680994,mc_dlsk,cw,6.0
21.0,20000,40000,0.5,0.09561647003580749,mc_dlsk,cw,6.0
-1.0,20000,40000,0.5,0.059499526311750345,mc_dlsk,cw,10.0
3.0,20000,40000,0.5,0.07170388288262192,mc_dlsk,cw,10.0
7.0,20000,40000,0.5,0.0626017676226851,mc_dlsk,cw,10.0
11.0,20000,40000,0.5,0.07247327822165024,mc_dlsk,cw,10.0
15.0,20000,40000,0.5,0.07175962214534304,mc_dlsk,cw,10.0
21.0,20000,40000,0.5,0.07012266121454724,mc_dlsk,cw,10.0
-1.0,436,40000,0.0109,0.3555400814579768,mc_dlsk,barrage,-10.0
3.0,50,40000,0.00125,0.5076597877762694,mc_dlsk,barrage,-10.0
7.0,20,40000,0.0005,0.6209834102996817,mc_dlsk,barrage,-10.0
11.0,12,40000,0.0003,0.6867257365618379,mc_dlsk,barrage,-10.0
15.0,15,40000,0.000375,0.7187890116706719,mc_dlsk,barrage,-10.0
21.0,17,40000,0.000425,0.7317118692102382,mc_dlsk,barrage,-10.0
-1.0,781,40000,0.019525,0.3225086535461167,mc_dlsk,barrage,-6.0
3.0,146,40000,0.00365,0.4471359157722945,mc_dlsk,barrage,-6.0
7.0,85,40000,0.002125,0.5318630338940099,mc_dlsk,barrage,-6.0
11.0,46,40000,0.00115,0.5731322980796325,mc_dlsk,barrage,-6.0
15.0,58,40000,0.00145,0.5969791965182399,mc_dlsk,barrage,-6.0
21.0,64,40000,0.0016,0.6099085037187354,mc_dlsk,barrage,-6.0
-1.0,1813,40000,0.045325,0.26361277677237527,mc_dlsk,barrage,-2.0
3.0,683,40000,0.017075,0.3441605866072503,mc_dlsk,barrage,-2.0
7.0,495,40000,0.012375,0.38883950412013696,mc_dlsk,barrage,-2.0
11.0,406,40000,0.01015,0.4246793541502079,mc_dlsk,barrage,-2.0
15.0,392,40000,0.0098,0.4285089648439412,mc_dlsk,barrage,-2.0
21.0,376,40000,0.0094,0.42911557684757057,mc_dlsk,barrage,-2.0
-1.0,5010,40000,0.12525,0.18037027196356734,mc_dlsk,barrage,2.0
3.0,3332,40000,0.0833,0.21646355785244542,mc_dlsk,barrage,2.0
7.0,2734,40000,0.06835,0.23852893219900995,mc_dlsk,barrage,2.0
11.0,2580,40000,0.0645,0.24832915518975177,mc_dlsk,barrage,2.0
15.0,2536,40000,0.0634,0.24884233964164043,mc_dlsk,barrage,2.0
21.0,2439,40000,0.060975,0.24392470533225938,mc_dlsk,barrage,2.0
-1.0,10560,40000,0.264,0.09355251496207609,mc_dlsk,barrage,6.0
3.0,9722,40000,0.24305,0.09910899022844295,mc_dlsk,barrage,6.0
7.0,9304,40000,0.2326,0.10920846559237202,mc_dlsk,barrage,6.0
11.0,8876,40000,0.2219,0.10662504272297041,mc_dlsk,barrage,6.0
15.0,8846,40000,0.22115,0.11134727524799455,mc_dlsk,barrage,6.0
21.0,9008,40000,0.2252,0.11627267332188201,mc_dlsk,barrage,6.0
-1.0,15781,40000,0.394525,0.029952058958470074,mc_dlsk,barrage,10.0
3.0,15595,40000,0.389875,0.03671986411591039,mc_dlsk,barrage,10.0
7.0,15440,40000,0.386,0.03717755373180842,mc_dlsk,barrage,10.0
11.0,15211,40000,0.380275,0.032131107321013465,mc_dlsk,barrage,10.0
15.0,15323,40000,0.383075,0.037632462360172,mc_dlsk,barrage,10.0
21.0,15323,40000,0.383075,0.03725391519672263,mc_dlsk,barrage,10.0
-1.0,566,40000,0.01415,0.35080973645053054,mc_dlsk,partial_band,-10.0
3.0,175,40000,0.004375,0.4969552355338401,mc_dlsk,partial_band,-10.0
7.0,113,40000,0.002825,0.6032021883087542,mc_dlsk,partial_band,-10.0
11.0,100,40000,0.0025,0.6589698653103715,mc_dlsk,partial_band,-10.0
15.0,99,40000,0.002475,0.6817478150282273,mc_dlsk,partial_band,-10.0
21.0,105,40000,0.002625,0.6851000191116456,mc_dlsk,partial_band,-10.0
