snr_db,n_err,n_sym,ber,corr_tau,arch,jammer,jsr_db,ber_std,ber_sem,ber_ci_lo,ber_ci_hi,ber_q05,ber_q95,realization,n_realizations
-1.0,149.0,13334.0,0.011174441277936103,0.372855392913722,qkv,clean,,,,,,,,,
3.0,11.0,13333.0,0.0008250206255156379,0.562373811364859,qkv,clean,,,,,,,,,
7.0,6.0,13333.0,0.00045001125028125703,0.6926256812528574,qkv,clean,,,,,,,,,
11.0,1.0,13333.0,7.500187504687617e-05,0.784720620018382,qkv,clean,,,,,,,,,
15.0,3.0,13334.0,0.00022498875056247187,0.8306247326420523,qkv,clean,,,,,,,,,
21.0,2.0,13333.0,0.00015000375009375234,0.8518640755086345,qkv,clean,,,,,,,,,
-1.0,480.06666666666666,13334.0,0.036003199840008,0.35066125449121727,qkv,cw,-10.0,0.01278925303103267,0.0034180716482060287,0.029303902512946723,0.04270249716706928,0.014106794660266988,0.05349482525873706,7.0,15.0
3.0,185.66666666666666,13333.0,0.013925348133703342,0.5155229281601899,qkv,cw,-10.0,0.009082256014733411,0.0024273350218642375,0.009167858912436693,0.01868283735496999,0.0014550363759093978,0.027600690017250427,7.0,15.0
7.0,127.06666666666666,13333.0,0.009530238255956398,0.620272069257924,qkv,cw,-10.0,0.006404268163256531,0.0017116126628521416,0.006175539081283503,0.012884937430629293,0.0008700217505437637,0.019567989199729987,7.0,15.0
11.0,110.33333333333333,13333.0,0.008275206880172003,0.6850133260389099,qkv,cw,-10.0,0.005931674233803667,0.0015853066223462963,0.005168062995920422,0.011382350764423585,0.00044251106277656946,0.017692942323558086,7.0,15.0
15.0,97.26666666666667,13334.0,0.007294635268236588,0.7162187429532988,qkv,cw,-10.0,0.0052381872886330064,0.0013999644401299324,0.0045507553859451405,0.010038515150528036,0.00047997600119994,0.0164016799160042,7.0,15.0
21.0,100.33333333333333,13333.0,0.007525188129703241,0.7285423603917156,qkv,cw,-10.0,0.005572706051213114,0.0014893683400600992,0.004606079823471243,0.010444296435935238,0.00030000750018750467,0.016815420385509636,7.0,15.0
-1.0,1759.3333333333333,13334.0,0.1319434028298585,0.32640545488617284,qkv,cw,-6.0,0.0562097748458605,0.01502269423292243,0.10249946318257297,0.16138734247714404,0.03104844757762112,0.19365531723413829,7.0,15.0
3.0,1388.2,13333.0,0.1041176029400735,0.46833016992364335,qkv,cw,-6.0,0.05817443907037602,0.015547772833507357,0.07364452814658881,0.13459067773355818,0.009045226130653268,0.1807395184879622,7.0,15.0
7.0,1275.9333333333334,13333.0,0.09569739243481087,0.55267984198658,qkv,cw,-6.0,0.060479083026184426,0.016163714839302675,0.06401709349340201,0.12737769137621974,0.006322658066451662,0.18183454586364659,7.0,15.0
11.0,1247.6666666666667,13333.0,0.09357733943348585,0.5962839362904846,qkv,cw,-6.0,0.06202887333050307,0.016577913720738708,0.06108522560202559,0.12606945326494612,0.005010125253131329,0.18723468086702166,7.0,15.0
15.0,1209.7333333333333,13334.0,0.09072546372681366,0.6168476550444878,qkv,cw,-6.0,0.061088697054198574,0.016326641041516973,0.05872583529692688,0.12272509215670044,0.0047547622618869054,0.18194090295485224,7.0,15.0
21.0,1229.0,13333.0,0.09217730443261082,0.6245820750087709,qkv,cw,-6.0,0.062088513404376766,0.016593853200949943,0.05965394979400425,0.1247006590712174,0.00412510312757819,0.18700217505437636,7.0,15.0
-1.0,4615.6,13334.0,0.34615269236538176,0.2787554425234469,qkv,cw,-2.0,0.12151068195226722,0.03247509576418855,0.28250267427308295,0.4098027104576806,0.11586920653967303,0.4365381730913454,7.0,15.0
3.0,4614.266666666666,13333.0,0.34607865196629917,0.3854359250991074,qkv,cw,-2.0,0.13753190026083978,0.03675694646628772,0.27403636071070847,0.41812094322188986,0.07248931223280583,0.46418660466511663,7.0,15.0
7.0,4646.8,13333.0,0.34851871296782416,0.44401916689300536,qkv,cw,-2.0,0.14374085173919604,0.0384163585493672,0.27322403379388704,0.4238133921417613,0.05870396759918999,0.47149928748218706,7.0,15.0
11.0,4645.866666666667,13333.0,0.3484487112177804,0.4644198841756445,qkv,cw,-2.0,0.14688090102688836,0.03925557202166208,0.2715092038628046,0.42538821857275627,0.053641341033525844,0.47662941573539336,7.0,15.0
15.0,4647.133333333333,13334.0,0.34851757412129397,0.4757722871194826,qkv,cw,-2.0,0.14854045381039305,0.039699106159600754,0.2707087558300443,0.42632639241254366,0.05127493625318734,0.4824508774561272,7.0,15.0
21.0,4651.533333333334,13333.0,0.34887372184304616,0.48153486970268433,qkv,cw,-2.0,0.14803650099412838,0.0395644191040606,0.27132888532983895,0.42641855835625336,0.05207380184504613,0.4795169879246981,7.0,15.0
-1.0,6082.133333333333,13334.0,0.45613719314034296,0.2009048541053734,qkv,cw,2.0,0.11745153417143993,0.031390242887178586,0.3946134476155083,0.5176609386651776,0.2917279136043198,0.5004349782510875,7.0,15.0
3.0,6090.333333333333,13333.0,0.4567864196604915,0.2644008360846532,qkv,cw,2.0,0.1237828566490677,0.033082359995497426,0.3919461855457279,0.5216266537752551,0.272654316357909,0.5034875871896798,7.0,15.0
7.0,6085.866666666667,13333.0,0.456451411285282,0.2966670075217998,qkv,cw,2.0,0.1249694222922734,0.0333994830029112,0.39098962749731836,0.5219131950732456,0.26672166804170105,0.5006375159378984,7.0,15.0
11.0,6085.533333333334,13333.0,0.4564264106602665,0.301612944728575,qkv,cw,2.0,0.125658706008183,0.03358370182485521,0.3906035646160182,0.5222492567045148,0.2608865221630541,0.5016875421885547,7.0,15.0
15.0,6081.333333333333,13334.0,0.4560771961401929,0.3093352052039625,qkv,cw,2.0,0.12606011897072217,0.03369098395174317,0.3900440809910593,0.5221103112893264,0.2567421628918554,0.5059997000149993,7.0,15.0
21.0,6082.6,13333.0,0.456206405160129,0.31571775939596797,qkv,cw,2.0,0.12603078404897372,0.033683143864125284,0.39018865630036215,0.5222241540198959,0.2553288832220806,0.5020625515637891,7.0,15.0
-1.0,6264.4,13334.0,0.46980650967451637,0.11855205487452387,qkv,cw,6.0,0.11182825565508842,0.029887358487279025,0.411228363446412,0.5283846559026207,0.3638593070346483,0.5020248987550623,7.0,15.0
3.0,6243.0,13333.0,0.468236705917648,0.14678560288768325,qkv,cw,6.0,0.11833935820948348,0.03162752384218581,0.4062478982667819,0.530225513568514,0.3537838445961149,0.5034875871896798,7.0,15.0
7.0,6237.866666666667,13333.0,0.46785169629240714,0.16360900762362018,qkv,cw,6.0,0.11996959417361078,0.03206322273056877,0.4050089345122064,0.530694458072608,0.35440636015900395,0.5006375159378984,7.0,15.0
11.0,6235.4,13333.0,0.4676666916672918,0.16138467267379808,qkv,cw,6.0,0.12073173629372408,0.03226691378010402,0.40442470276602877,0.5309086805685548,0.35292882322058056,0.5016875421885547,7.0,15.0
15.0,6237.2,13334.0,0.4677666116694164,0.16525907499078235,qkv,cw,6.0,0.12035009534372922,0.03216491594584375,0.4047245348498046,0.5308086884890282,0.3502024898755063,0.5059997000149993,7.0,15.0
21.0,6237.2,13333.0,0.467801695042376,0.1705759224166516,qkv,cw,6.0,0.12027215559109956,0.0321440856707616,0.4048004448117133,0.5308029452730387,0.3533338333458337,0.5020625515637891,7.0,15.0
-1.0,6339.133333333333,13334.0,0.4754112294385282,0.05350953694490409,qkv,cw,10.0,0.09202355022193842,0.024594328317505618,0.4272072317122636,0.5236152271647928,0.3879331033448328,0.5020248987550623,7.0,15.0
3.0,6330.2,13333.0,0.4747768694217356,0.06019811154955635,qkv,cw,10.0,0.09441659212803596,0.025233895669277723,0.42531934272031,0.5242343961231611,0.3840246006150154,0.5034875871896798,7.0,15.0
7.0,6333.6,13333.0,0.4750318757968947,0.0707967474402904,qkv,cw,10.0,0.09342419653692442,0.024968666791128837,0.42609418814430094,0.5239695634494885,0.38719717992949826,0.5006375159378984,7.0,15.0
11.0,6342.266666666666,13333.0,0.47568189204730127,0.06481174707342365,qkv,cw,10.0,0.09100463277758555,0.02432201117592164,0.4280116261109142,0.5233521579836884,0.38938723468086706,0.5016875421885547,7.0,15.0
15.0,6339.466666666666,13334.0,0.4754362281885904,0.06681049230081734,qkv,cw,10.0,0.09209180766329804,0.02461257088605315,0.42719647568498714,0.5236759806921937,0.3852632368381581,0.5059997000149993,7.0,15.0
21.0,6338.866666666667,13333.0,0.4754268856721417,0.06524421186850231,qkv,cw,10.0,0.09196576417234256,0.024578884346125415,0.4272531575735606,0.5236006137707228,0.38797719942998576,0.5020625515637891,7.0,15.0
-1.0,207.33333333333334,13334.0,0.015549222538873059,0.3487825988332268,qkv,barrage,-10.0,0.000782105382661326,0.00020902645587645788,0.015139538213539151,0.01595890686420697,0.01431678416079196,0.016581670916454176,7.0,15.0
3.0,28.8,13333.0,0.0021600540013500336,0.5100517221158143,qkv,barrage,-10.0,0.0002887978015089108,7.718445909284933e-05,0.0020087752413618437,0.0023113327613382235,0.0015750393759843995,0.002475061876546914,7.0,15.0
7.0,11.733333333333333,13333.0,0.0008800220005500138,0.6125713935316275,qkv,barrage,-10.0,0.00018055921483304868,4.8256479995012826e-05,0.000785441037739111,0.0009746029633609165,0.0006300157503937599,0.0012000300007500187,7.0,15.0
11.0,3.2666666666666666,13333.0,0.00024500612515312883,0.6798466881381297,qkv,barrage,-10.0,0.00011445809287491783,3.0590212048678154e-05,0.00018505041125827646,0.00030496183904798124,0.0001275031875796895,0.00045001125028125703,7.0,15.0
