snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.10787,90.9470101163088,5.388367346553715e-10,10787,100000,0.17660367071223176,-0.001658512038437822
-3.0,0.03698,86.35412653916428,5.33973263222031e-10,3698,100000,0.249994021070043,-0.0003982145231470579
-1.0,0.01016,80.54428503871524,5.323413403248772e-10,1016,100000,0.3410136957484877,-0.0039718136153241
1.0,0.00309,73.89397354663171,5.337781224376438e-10,309,100000,0.4292780814029512,-0.0021984717057491106
3.0,0.000795,66.06773309314609,5.344261771084284e-10,159,200000,0.522333034675724,0.0003335448679264341
5.0,0.0003733333333333333,56.84247054979975,5.339393586080579e-10,112,300000,0.6162526264521005,9.603566647408616e-05
7.0,0.000205,48.03667564643582,5.330260458981095e-10,123,600000,0.6939041607621248,-0.0005357701460195476
9.0,0.00015285714285714287,39.51245967063897,5.341697539790603e-10,107,700000,0.7593840933810589,0.00267944279303421
11.0,8.307692307692307e-05,31.912062149603063,5.337168328124641e-10,108,1300000,0.8118877267997253,0.0011274281020468232
13.0,8.583333333333334e-05,25.268582356659632,5.343065829781728e-10,103,1200000,0.8536802506415697,-0.0011618153361059112
15.0,0.0001,19.919960219585587,5.342796153522954e-10,100,1000000,0.8856447975556071,0.0007669048037135949
17.0,8.333333333333333e-05,16.26763526456307,5.344207956020734e-10,100,1200000,0.9071617909280969,0.0010559151432398745
19.0,7e-05,14.036546420001313,5.344478967219489e-10,112,1600000,0.9204127948601615,0.0010880366185156932
20.0,7.428571428571429e-05,13.241915016502961,5.340331168812672e-10,104,1400000,0.9252057136776519,0.0003201833030561357
