snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.10714,89.12518920111454,5.40624915474236e-10,10714,100000,0.18129682448956824,-0.0020212386279455734
-3.0,0.03845,85.5111956009413,5.338890519312801e-10,3845,100000,0.25311510774036783,-0.000963957562556208
-1.0,0.01092,80.52085113406089,5.315577029880091e-10,1092,100000,0.34027267885208407,0.00098536665102462
1.0,0.00309,74.21194373671116,5.330343586899086e-10,309,100000,0.4253888649350155,0.002902922159722141
3.0,0.000895,66.68961439098449,5.33724973026971e-10,179,200000,0.5151742001478423,0.002619554861322237
5.0,0.0004933333333333334,57.50774903080727,5.332251971956077e-10,148,300000,0.6082715927317682,0.000821788346200938
7.0,0.000218,48.10169178778869,5.326586408380746e-10,109,500000,0.6899042563663513,-0.0011203453172030163
9.0,0.00015571428571428572,38.820217633403665,5.334489798205556e-10,109,700000,0.7603812008152462,0.0021485364565976294
11.0,0.0001,30.799068518468633,5.326824904894178e-10,100,1000000,0.8160015806459661,-0.00038556422290419805
13.0,0.00010363636363636364,24.561742378519945,5.333849016437653e-10,114,1100000,0.8561987904646228,-0.0007455645447196496
15.0,0.00012,20.130610930895312,5.334732216370097e-10,108,900000,0.8834938239775069,-0.0005215836518103084
17.0,9.636363636363636e-05,17.26465668375158,5.336035757369673e-10,106,1100000,0.9004958990663896,-0.0007252576275395501
19.0,8.416666666666666e-05,15.455213559256897,5.335132200335991e-10,101,1200000,0.9112007463372083,0.001494176965360094
20.0,8.307692307692307e-05,14.745070353195905,5.331674603608543e-10,108,1300000,0.9152970800116381,0.00048255606980133526
