snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.09175,86.93446304998221,5.386176746909698e-10,9175,100000,0.24723943927619357,-0.002179656394807646
-3.0,0.03003,80.38641766010258,5.363885854102131e-10,3003,100000,0.34306302368949865,-0.002143173477434089
-1.0,0.00838,74.11076036441982,5.333418213149502e-10,838,100000,0.43027195115254396,0.00232051067508618
1.0,0.00249,67.02086621722705,5.350315202169119e-10,249,100000,0.5146782168663635,-0.005231138490094107
3.0,0.00106,59.38222600363058,5.331140614374606e-10,106,100000,0.5883796791684791,0.001413342928993427
5.0,0.00055,52.283861530026414,5.322305763502617e-10,110,200000,0.6541424420981291,0.0019806911902626877
7.0,0.00035666666666666664,46.41957174355667,5.345829288410793e-10,107,300000,0.7005828527660287,0.0014940775339802976
9.0,0.00034666666666666667,42.08559065302552,5.350078003363551e-10,104,300000,0.7330476098597193,0.0003254624057277763
11.0,0.0002625,39.11018024674068,5.340803028194359e-10,105,400000,0.7553341715487347,-0.0008515469294165384
13.0,0.0002,37.038577810534335,5.331325927498291e-10,100,500000,0.7693999255925574,0.0003469798369360468
15.0,0.00020333333333333333,36.02786438601307,5.340591078081366e-10,122,600000,0.7774782754928534,0.0020723247195213695
17.0,0.0002,35.07237960350221,5.337210598641842e-10,100,500000,0.7830606609382498,0.001007338310749092
19.0,0.00019,34.64450375607105,5.330663791943735e-10,114,600000,0.7858930549428089,0.0034790437257955207
20.0,0.00019666666666666666,34.65858684618978,5.32290399373688e-10,118,600000,0.7866001474726845,0.0019243022640539537
