snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.09103,86.42438202510274,5.386898996828484e-10,9103,100000,0.2510273941905944,-0.0029981612772752835
-3.0,0.03109,80.1278484455828,5.358192332219683e-10,3109,100000,0.34684708247783547,-0.0016827712709970152
-1.0,0.00864,73.55339244071445,5.331966146253126e-10,864,100000,0.43718708940675194,-0.0011677121656203607
1.0,0.00269,66.40958285868916,5.349061847249087e-10,269,100000,0.5212910691170193,-0.008727229153105302
3.0,0.00116,58.685318058624866,5.329261296466219e-10,116,100000,0.5947351417096997,0.0017460082760531973
5.0,0.000625,51.43348113972347,5.321841023275178e-10,125,200000,0.660891894836277,0.0015030470694870827
7.0,0.00044,45.41832678864082,5.345308853447498e-10,132,300000,0.7081827772934486,0.000633696216505882
9.0,0.00038333333333333334,41.00413102112009,5.348662175529988e-10,115,300000,0.7410091342503016,0.003880268245098096
11.0,0.000315,37.893626659652696,5.339329840498038e-10,126,400000,0.7641016657636223,0.0028540814586788675
13.0,0.0002725,35.79916958797457,5.331417032963916e-10,109,400000,0.7784824505317273,0.0014829997109705678
15.0,0.000256,34.722377216656824,5.339180183933864e-10,128,500000,0.7866104664192772,0.001885068323428579
17.0,0.0002575,33.70405253800723,5.342502697622733e-10,103,400000,0.792410272947882,0.000715970130462948
19.0,0.00025,33.28544405140898,5.329309397403144e-10,100,400000,0.7952607300042308,0.00010140958948182158
20.0,0.000226,33.29751736047208,5.323149997221749e-10,113,500000,0.7963461892154982,0.0006556078750985825
