snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.10715,86.99758829231479,1.3448344414706913e-10,10715,100000,0.25288174965562715,-0.0024681184704006365
-3.0,0.03794,80.4475881104498,1.3408624757655252e-10,3794,100000,0.3428086480385069,0.0009980384093567114
-1.0,0.01099,73.8109630434411,1.3345721472126544e-10,1099,100000,0.43310347255441856,0.001461870150180193
1.0,0.00401,66.9330583801754,1.3388525112883627e-10,401,100000,0.5156528927758862,-0.003963020960648483
3.0,0.00151,59.104043784476566,1.333965870676268e-10,151,100000,0.5915433511832014,0.002592093735874879
5.0,0.00063,52.142550447059556,1.332327345045928e-10,126,200000,0.6554814286335937,0.0016341840999446928
7.0,0.00040333333333333334,46.19765967540315,1.3383665484515612e-10,121,300000,0.7021972121031063,0.0002495523297513705
9.0,0.0002825,41.88739308395666,1.3397158387814594e-10,113,400000,0.7345948881469382,0.002537717508417465
11.0,0.000204,38.80633981985211,1.3350212427577363e-10,102,500000,0.7568237176173322,0.0033221974056176777
13.0,0.00018,36.85824554705609,1.3350664413239927e-10,108,600000,0.7705001337829769,0.0001401912073089461
15.0,0.00017,35.82541362493445,1.3365595660904613e-10,119,700000,0.7784994615146561,-0.0006071288469167596
17.0,0.00018333333333333334,34.87052827569371,1.3356977530907747e-10,110,600000,0.784383457844778,-0.0010413318459617125
19.0,0.00015142857142857143,34.48769407174831,1.3349231714090257e-10,106,700000,0.7870912775552161,0.000546746730230379
20.0,0.00016,34.43606669372946,1.3337196023953708e-10,112,700000,0.7880965514238202,-0.00043924317737887734
