snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.08966,85.97839820323051,1.3418347999511908e-10,8966,100000,0.26026554963418236,-0.0026317895571046396
-3.0,0.02978,80.01480148005463,1.3388640581260957e-10,2978,100000,0.3503838843203654,0.0027819834330757324
-1.0,0.00862,73.65399382410526,1.3336152642466347e-10,862,100000,0.4377655386852856,-0.00237435297019805
1.0,0.00255,66.32340608634851,1.3377188879302438e-10,255,100000,0.5226740691653234,-0.007767175570540211
3.0,0.001,58.38776925471222,1.3327890808059753e-10,100,100000,0.59716825372737,0.000590616076493158
5.0,0.00053,50.90092312038565,1.3305403513573042e-10,106,200000,0.6642408635227678,0.0027369340020023682
7.0,0.0003533333333333333,44.752980677424844,1.3365869513590966e-10,106,300000,0.7120047924743542,4.379180344615171e-05
9.0,0.00039,40.19663940213747,1.3375329301297116e-10,117,300000,0.7457430733801317,0.00042884697295588603
11.0,0.0002825,37.01331475995624,1.3351351684961398e-10,113,400000,0.7694088509788577,0.0002851579818440528
13.0,0.00020666666666666666,34.90187040588451,1.333182652334091e-10,124,600000,0.7840977452446516,0.0006092796156792222
15.0,0.000232,33.7099923451702,1.3350241913755335e-10,116,500000,0.7932897715456507,0.0005837210587115863
17.0,0.00022,32.74999838024897,1.33435922377834e-10,110,500000,0.7992259257566716,0.00046559772349799133
19.0,0.000208,32.2867456254692,1.331208968527062e-10,104,500000,0.8023460745586202,0.00097660337643217
20.0,0.000202,32.31514808469382,1.3308787514030172e-10,101,500000,0.803296162846267,0.0008370321855117302
