snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.09432,86.22993759152315,1.3459367277317006e-10,9432,100000,0.26097798373030806,-0.0021887527983742985
-3.0,0.03354,79.99337930601725,1.3395380540230361e-10,3354,100000,0.3506248868027396,-0.001998889788921937
-1.0,0.00949,73.81087606817086,1.3330759553741417e-10,949,100000,0.43467234065618066,-0.0012740984341253665
1.0,0.00321,66.79448930325091,1.337336378330547e-10,321,100000,0.5173909197572486,-0.008874790680557082
3.0,0.00121,59.32170191244655,1.332445209968411e-10,121,100000,0.588746799326223,0.0008836786231128828
5.0,0.00055,52.44854491350801,1.330397609486358e-10,110,200000,0.6519721302314806,0.003586485345553059
7.0,0.0004366666666666667,46.70077640159056,1.3365282087672291e-10,131,300000,0.6974756871432348,-0.001498012480813375
9.0,0.00036333333333333335,42.475864311330966,1.3373473804064964e-10,109,300000,0.7292678077769245,0.0015631548396104148
11.0,0.00034,39.65818860584351,1.3349735055817529e-10,136,400000,0.7505850408972308,0.001085946375408369
13.0,0.00027,37.68570554299739,1.3329130846133167e-10,108,400000,0.764462874418978,0.0010500192632447592
15.0,0.000248,36.72208766274019,1.3348402507727248e-10,124,500000,0.7721352541922432,0.0016695946039775582
17.0,0.000242,35.80984963082768,1.3341506492348202e-10,121,500000,0.7776713678147353,0.00037784207560016863
19.0,0.0002525,35.41122034649941,1.332244430794259e-10,101,400000,0.7803021719736065,0.0022820070479197987
20.0,0.00023,35.459900113193804,1.3308265593185896e-10,115,500000,0.7812348200983982,0.0006847198280613466
