snr_db,ber,mse_tau,mse_fd,n_errors,n_symbols,corr_tau,corr_fd
-5.0,0.11073,85.70602673887306,1.3489246930067466e-10,11073,100000,0.2626391641956579,-0.0018855853870918967
-3.0,0.04091,79.98735646389352,1.340684190054221e-10,4091,100000,0.34856379587286807,-3.596834129618375e-05
-1.0,0.0109,73.88718500724386,1.3339753561408118e-10,1090,100000,0.4332864131216942,-0.00330489085863728
1.0,0.00314,67.09503996621432,1.3374859440159842e-10,314,100000,0.514554573538521,-0.003713064467299364
3.0,0.00096,59.56203533018785,1.3386988070545874e-10,192,200000,0.5875397295926814,-0.0006235922919872043
5.0,0.00042333333333333334,52.6089481267867,1.3303304671298522e-10,127,300000,0.6512068473739065,-0.0016533430915066033
7.0,0.0002525,46.88253014928309,1.337810586003205e-10,101,400000,0.696795076122868,-0.0009135058369095525
9.0,0.00017833333333333332,42.662550170098434,1.3359508131078112e-10,107,600000,0.7291693900154154,-0.00038320985921078203
11.0,0.00012875,39.843382770612465,1.3348656703278614e-10,103,800000,0.7495645338485505,-0.0007343609324709069
13.0,0.000101,38.02297606814036,1.3335876851824373e-10,101,1000000,0.7625958046144433,-0.0010224780820132467
15.0,0.0001275,36.919461063519705,1.3344964929927985e-10,102,800000,0.7708504465454614,0.00084048521854896
17.0,9.90909090909091e-05,36.02536887148381,1.335033560077837e-10,109,1100000,0.7762597760486116,0.00034637180315801795
19.0,9.454545454545455e-05,35.654155758038286,1.3339126988034464e-10,104,1100000,0.7789974424357212,-0.00011804966902183513
20.0,0.000102,35.584519139073635,1.3339442573930596e-10,102,1000000,0.7798568308123025,-0.0013843105369329704
