channel_variant,arch,snr_db,ber,n_errors,n_symbols,ber_ci_lo,ber_ci_hi,mse_tau,corr_tau,mse_fd,corr_fd
nominal,qkv,-5.0,0.39975,1599,4000,0.38467293111746065,0.4150194372621246,88.08137728938065,0.20010855110179998,5.32215192515109e-10,-0.013679128457166111
nominal,qkv,-3.0,0.39275,1571,4000,0.3777255953613187,0.40798020522432227,84.09846339626154,0.26972231366627225,5.303699850669149e-10,0.010250940893579003
nominal,qkv,-1.0,0.38625,1545,4000,0.3712774114231464,0.40144086192526074,80.03342998164537,0.35135319911577295,5.499358309968186e-10,-0.022934544503013105
nominal,qkv,1.0,0.38825,1553,4000,0.3732611676316278,0.4034532679436205,71.88172989062436,0.44369852741613897,5.377122202170685e-10,0.017247016144636654
nominal,qkv,3.0,0.40925,1637,4000,0.39410661156218346,0.4245675273948975,66.34975937353944,0.5339650752768125,5.237290178202403e-10,0.011368883631757577
nominal,qkv,5.0,0.42225,1689,4000,0.4070253649558485,0.43762382847570025,58.44450532361793,0.6136578747784565,5.372463093399617e-10,0.0009014085495138628
nominal,qkv,7.0,0.4235,1694,4000,0.40826812682884484,0.4388786679944796,52.41062931739067,0.6667073443666853,5.329078285168938e-10,0.0054244406886807
nominal,qkv,9.0,0.41975,1679,4000,0.4045401422811252,0.43511384836687195,45.35082954095878,0.7391347833283937,5.323233217453096e-10,-0.012432530195057996
nominal,qkv,11.0,0.4255,1702,4000,0.41025675418912905,0.4408862028610366,40.716125972337174,0.7700774436037403,5.482621714625001e-10,-0.008322536069279013
nominal,qkv,13.0,0.443,1772,4000,0.4276681167850893,0.45844125974993677,38.101624350410646,0.8000328115921177,5.341369634954231e-10,0.002405067803101796
nominal,qkv,15.0,0.427,1708,4000,0.4117483927565184,0.4423916859637781,36.10125168538603,0.8238000816806028,5.286312435111786e-10,-0.0030241365368813148
nominal,qkv,17.0,0.43425,1737,4000,0.4189600032938014,0.44966616349879446,33.81439650980902,0.8347211028367533,5.274225423808996e-10,-0.0236554635922135
nominal,qkv,19.0,0.43325,1733,4000,0.4179650994111883,0.44866298626798695,33.18156914853696,0.842484019608838,5.419660467375649e-10,-0.013503182403448954
nominal,qkv,21.0,0.43675,1747,4000,0.42144754083173397,0.4521738287444135,31.378645479990855,0.8534521126127399,5.422635522493908e-10,-0.0075314360150219575
