arch,modality,jammer_knowledge,jammer_model,in_channel,jsr_db,realization,ber,jammed_fraction,ber_clean,hop_rate_hz,dwell_bursts,slot_duration_us,num_channels
conv1d,fh_off,omniscient,barrage,cw,-10.0,0,0.465,1.0,0.465,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,0.0,0,0.4725,1.0,0.465,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,cw,10.0,0,0.5075,1.0,0.465,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,-10.0,0,0.375,1.0,0.465,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,0.0,0,0.4475,1.0,0.465,100000.0,1,10.0,8
conv1d,fh_off,omniscient,barrage,partial_band,10.0,0,0.4925,1.0,0.465,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,-10.0,0,0.515,1.0,0.5125,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,0.0,0,0.52,1.0,0.5125,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,cw,10.0,0,0.535,1.0,0.5125,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,-10.0,0,0.405,1.0,0.5125,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,0.0,0,0.43,1.0,0.5125,100000.0,1,10.0,8
conv1d,fh_off,omniscient,fixed_partial,partial_band,10.0,0,0.465,1.0,0.5125,100000.0,1,10.0,8
conv1d,fh_off,omniscient,sweep,cw,-10.0,0,0.5,1.0,0.495,100000.0,1,10.0,8
conv1d,fh_off,omniscient,sweep,cw,0.0,0,0.5225,1.0,0.495,100000.0,1,10.0,8
conv1d,fh_off,omniscient,sweep,cw,10.0,0,0.5475,1.0,0.495,100000.0,1,10.0,8
conv1d,fh_off,omniscient,sweep,partial_band,-10.0,0,0.42,1.0,0.495,100000.0,1,10.0,8
conv1d,fh_off,omniscient,sweep,partial_band,0.0,0,0.4225,1.0,0.495,100000.0,1,10.0,8
