summary,arch,key_bin,guard_factor,n,target_id_rate,peer_false_rate,fallback_rate,mean_abs_err
all,conv1d,all,1.0,200,0.16,0.02,0.525,5.169701984301209
all,conv1d,all,1.5,200,0.16,0.02,0.28,5.169701984301209
offset_samples,conv1d,-1,1.0,7,0.0,0.42857142857142855,0.7142857142857143,2.16532922323261
offset_samples,conv1d,-1,1.5,7,0.0,0.42857142857142855,0.2857142857142857,2.16532922323261
offset_samples,conv1d,-2,1.0,5,0.0,0.0,0.6,1.8409309476613998
offset_samples,conv1d,-2,1.5,5,0.0,0.0,0.4,1.8409309476613998
offset_samples,conv1d,-3,1.0,3,0.0,0.0,0.3333333333333333,0.8958876344064871
offset_samples,conv1d,-3,1.5,3,0.0,0.0,0.0,0.8958876344064871
offset_samples,conv1d,-4,1.0,8,0.0,0.0,1.0,2.0232936064712703
offset_samples,conv1d,-4,1.5,8,0.0,0.0,0.875,2.0232936064712703
offset_samples,conv1d,0,1.0,5,0.0,0.0,1.0,0.8684648752212525
offset_samples,conv1d,0,1.5,5,0.0,0.0,0.8,0.8684648752212525
offset_samples,conv1d,1,1.0,8,0.25,0.0,1.0,0.9087530551478267
offset_samples,conv1d,1,1.5,8,0.25,0.0,0.625,0.9087530551478267
offset_samples,conv1d,2,1.0,6,0.3333333333333333,0.0,0.6666666666666666,0.7961966966589292
offset_samples,conv1d,2,1.5,6,0.3333333333333333,0.0,0.5,0.7961966966589292
offset_samples,conv1d,3,1.0,6,0.0,0.0,0.3333333333333333,1.7600616340835888
offset_samples,conv1d,3,1.5,6,0.0,0.0,0.16666666666666666,1.7600616340835888
offset_samples,conv1d,4,1.0,152,0.18421052631578946,0.006578947368421052,0.45394736842105265,6.340490309227454
offset_samples,conv1d,4,1.5,152,0.18421052631578946,0.006578947368421052,0.21052631578947367,6.340490309227454
amplitude_ratio,conv1d,comparable,1.0,16,0.0625,0.0,0.5625,9.680687791202217
amplitude_ratio,conv1d,comparable,1.5,16,0.0625,0.0,0.0,9.680687791202217
amplitude_ratio,conv1d,peer_stronger,1.0,36,0.0,0.0,0.1388888888888889,14.518787860042519
amplitude_ratio,conv1d,peer_stronger,1.5,36,0.0,0.0,0.0,14.518787860042519
amplitude_ratio,conv1d,target_gt1.25,1.0,24,0.20833333333333334,0.041666666666666664,0.5416666666666666,3.3994756722822785
amplitude_ratio,conv1d,target_gt1.25,1.5,24,0.20833333333333334,0.041666666666666664,0.08333333333333333,3.3994756722822785
amplitude_ratio,conv1d,target_gt2,1.0,124,0.20967741935483872,0.024193548387096774,0.6290322580645161,2.216013008908879
amplitude_ratio,conv1d,target_gt2,1.5,124,0.20967741935483872,0.024193548387096774,0.43548387096774194,2.216013008908879
co_range,conv1d,co_range,1.0,5,0.0,0.0,1.0,0.8684648752212525
co_range,conv1d,co_range,1.5,5,0.0,0.0,0.8,0.8684648752212525
co_range,conv1d,separated,1.0,195,0.1641025641025641,0.020512820512820513,0.5128205128205128,5.27999011530326
co_range,conv1d,separated,1.5,195,0.1641025641025641,0.020512820512820513,0.26666666666666666,5.27999011530326
